dialect,standard,region,sentiment,source,source_split,dialect_features
Các dòng tộc Nguyễn 阮 Trần 陈 Lê 黎 Phạm 范 Hoàng 黄 Đặng 邓 Lương 梁 ... Từ Trung Quốc từ bắc Trung Việt Chả có đóng góp gì hả ? 😂😂😂,,northern,,youtube:2tH6JiRB6Wg,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Nói ngang ngược không à lịch sử ai chả biết,,northern,,youtube:2tH6JiRB6Wg,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Tui gôc miên trung. Nhưng dân 3 miên tui chon dân miên nam tinh cach sông thât tha ko chua ngoa đanh đa như dân ngoai băc tinh toan qua như dân mien trung cua tui,,southern,,youtube:tXCFOL40thE,,"{""northern"": 0, ""central"": 0, ""southern"": 3}"
"Giống kỳ lạ giữa mối quan hệ giữa nước Mỹ & "" lục địa già"", cụ thể là nước Anh. Và cũng như nguyên cớ cuộc chiến tranh Nam - Bắc Mỹ. Nhìu ng ( tronhg đó có tui) cứ ngi phong cách ng Nam bộ là do thiên nhiên ưu đã + những di dân ( vì nhìu lý do dính đến pháp luật phải bỏ xứ -> ngang tàng). Cám ơn kênh!",,southern,,youtube:tXCFOL40thE,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Biết câu chuyện này từ lâu, cũng đã từng lên tiếng, cũng từng bị công an nhắc nhở. Giờ mong thế hệ sau cũng hiểu và đồng cảm với sự thật lịch sử",,northern,,youtube:QGYrGEev0Gs,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Rất đau đớn khi tới 30 tháng tư...bao nhiêu gia đình miền Nam tan nát đau thương. Tù tội, chết chóc ly biệt. Nhà cửa, tài sản bị chiếm đoạt, gia đình tui mất hết, xảy đàn tan nghé... bị luà đi kinh tế mới, sốt rét và quá thiếu thốn đã bỏ mạng mấy người.!!!...",,southern,,youtube:QGYrGEev0Gs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Nhớ thời bao cấp da gà tui nổi lên đầy người,,southern,,youtube:QGYrGEev0Gs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Nhờ giải phóng mà tui biết xếp hàng mua gạo sổ...,,southern,,youtube:QGYrGEev0Gs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Nước Việt Nam là một Dân tộc Việt Nam là một cơ mà cùng cội nguồn mà,,northern,,youtube:QGYrGEev0Gs,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Đả hiểu ,làm cách mạng có sai đúng ,chuyện qua r nay hàn gắn đả lành mong đừng nhắc lại nhiều ,giử đ k để x d đ ngày cg phồn vinh ,giàu mạnh .hí . ..",,central,,youtube:QGYrGEev0Gs,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
"Tui miền Trung, rất yêu việt nam",,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui có bố là người miền bắc nhưng mẹ là người miền nam😂❤,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
tui luon ne,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui là người Miền Trung😊😊😊❤❤❤🎉🎉🎉 tui yêu Việt Nam😊,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
tui Miền Bắc:),,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui là người miền Bắc nè,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Miền Bắc nè,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tớ miền bắc nè❤❤❤,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui là người miền Bắc ❤❤❤,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền trung nghen,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Tui miền Bắc ❤❤❤,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền trung❤❤❤😊😊😊,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Miền bắc nè mọi người 😊,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui là người miền Trung,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền nam ❤,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền Trung❤,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền nam❤❤😊😊,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui miền nam,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui người miền bắc,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui mieenf Trung,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui người miền nam,,southern,,youtube:GwtausGAKV8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Vì Nguyễn Huệ chả có công cáng gì ở miền Nam. Còn các đời nhà Nguyễn thì trùng trùng công đức. Ai không tin thì hãy cố gắng mà tìm hiểu sự thật lịch sử.,,northern,,youtube:1OAlSn9hIHM,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Tui thích Nguyễn Phúc Ánh, tức Vua Gia long",,southern,,youtube:1OAlSn9hIHM,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
TUI LÀ NGƯỜI MIỀN NAM NHƯNG THỜ VUA QUANG TRUNG CHỨ KHÔNG THỜ TÊN VIỆT GIAN NGUYỄN PHÚC ÁNH .,,southern,,youtube:1OAlSn9hIHM,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Bình ngô đại cáo, Nguyễn Trãi đã từng nhắc nhở khéo trước đó hàng trăm năm.",,northern,,youtube:1OAlSn9hIHM,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Theo cá nhân tui người Miền Nam, đa phần rất tử tế.❤",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Minh người gốc Bắc nè ,sống ở miền Nam 40 năm rồi.anh này nói đúng 100%",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Người miền bắc muốn thấy người ta sống tốt thân thiện không thì hãy vào xóm đạo công giáo nơi ấy rất hoà nhả hầu như không có trộm cắp nói tục thanh niên không thấy rượu chè be bét thật sự rất yên lành. Tui người miền tây vô thần ngoại đạo,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cười vui...ở trước nhà tui có bãi rửa xe và có vài cháu thanh niên miền bắc .đối với nhau vui vẻ..chọc cười vui vẻ đùa với nhau...cháu nó gọi tôi là Nam kỳ già còntôi gọi cháu là Bắc kỳ con,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui khoái cái câu mà anh nói.người trong nam người ta cất cái nhà 1 tỷ thì người ta phải có 2 tỷ.với cái câu mà anh nói người ta mặt quần sọt mà vẩn đi uống cafe với chủ tịch xả được.cái nầy chín sát người trong nam rất tình cảm và thân thiện với nhau.cám ơn anh đả nói lên cái điều mà người miềng bắc chưa hiểu về người miềng nam.,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tôi là con em miền Bắc. Đánh Potpol ở Biên giới Tây Nam 78>80. Các Má miền Nam Thương Bộ đội nhiều lắm. Nói sao cho hết được.. Má ơi.Con vẫn nhớ Rổ quả Mãng Cầu Má đưa để ăn trước giờ lên xe vào Trận đánh.Má và tôi ở ấp Thanh Thuận T.Điền Tây ninh. Tôi yêu đất nước VN,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Ở chỗ tui người miền Bắc vô ở nhiều, mấy đứa nó tâm sự vô miền Nam ở rồi chẳng muốn ra Bắc ở 😂😂😂",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui từng sống 4 năm ở ngoài Bắc nền rất hiểu cách sống và ăn ở của ngoài Bắc. ..,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Ông Bà ta có câu. Đất lành chim đậu Thiêng thời địa lợi Nhân hòa. Trong ba yếu tố này . Theo tôi yếu tố Nhân hòa là yếu tố quyết định , bởi. Có Thiêng thời , có Địa lợi mà Nhân ở nơi đây không hòa , thì chả có chim nào dám dau .",,northern,,youtube:y2maWYIHPsg,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Ông này bk ở trong nam nhiễm nặng người MN Nam tui khoái mặc dù tui ở Mỹ,không khoe khoang,đi đứng thoả mái,,đi đu lịch không sợ người ta dòm ngó,vì họ không biết mình có của ăn của để ,trong nhà không có vật quí giá 😅",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Chổ tui ae miền ngoài vào đây sinh sống mua nhà mua đất mua xe không ai nói chuyện như thằng đó người ta rất lịch sự,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tui cũng ở Tây Nguyên nè,,, ông chú này nói nghe rất đúng",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"A nói dân miền Bắc mua xe 1 tỷ 5 chiếc thì tui không rõ là xe hiệu gì,nhưng tui thấy có cái này,xe của ông láng giềng phương Bắc xuất hiện là dân miền Bắc tậu về liền, chẳng hạn như MG,BYD",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Anh ơi! Tui là nguời miền nam nè k có xe máy đi nửa ,mà mổi năm cũng phải đóng góp quỷ cứu trợ bão lũ miền trung bắc hết. Nghe thằng nhỏ đó nó nói vậy từ đây về sau k góp bão lũ nửa.",,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Ê nè Hà nội dân trí thức nhiều giàu lắm,,southern,,youtube:y2maWYIHPsg,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Nói thẳng ra là rất ít thông tin về XKLĐ và rất ít cty tại Miền Nam, và cũng chẳng có sự giới thiệu hay lôi kéo... anh này nói đúng và hay nè",,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Ngày xưa có cái vụ đi lấy chồng Đài Loan với lấy chồng Hàn Quốc ấy cũng nhiều , mà giờ hông biết còn hông nữa 🤧",,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"sai nhé ! không phải miền nam có điều kiện hơn, mà do ưu tiên cho miền bắc nên miền nam chả có bao nhiêu suất để đi 🤧🤧🤧",,northern,,youtube:_zxXLiGyyGk,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Đâu có thấy quảng cáo xuất khẩu lao động ở miền nam dau. Với lại mình ở Mỹ, muốn đem em trai qua mà nó không chịu đi nè.",,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cái này thì có lý nè. Nhưng mà ad từng nói hạ tầng miền bắc đang vượt MN mà,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ở miền tây tui còn thiếu nhân công làm ở đó mà đi xklđ chi thiếu gì việc chủ yếu do mình có muốn làm hay làm nổi ko thôi,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"đúng r, tui ở miền nam toàn đi du học sinh dạng trao đổi, hoặc xin học bổng r cố kiếm cách ở lại hợp pháp chứ k có đi xkld làm culi r trốn chui trốn nhủi mang tiếng đâu :)))",,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Y vậy. Chú tui bên Mẽo cứ gạ sang du học ở với chú hoài😂,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ở quê tui còn dán băng rôn xkld làm giau cho đất nước và gia đình😊,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tại miền nam mần nuôi mấy chổ khác😂😂 đâu cần đi xa,,central,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Mấy công ty xkld còn vào thẳng trong trường tuyển cơ mà Báo đảng còn viết mấy cái như xklđ đạt chỉ tiêu đồ gì kia mà 😂,,northern,,youtube:_zxXLiGyyGk,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Bạn nói đúng nè, nếu người miền Nam muốn đi thì là đi để định cư hoặc du học.",,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Xkld.😅 bần cùng lắm mới đê.thất nghiệp.chớ giàu tui đi châu âu sống lun chớ xkld chi.kkk.,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Anh trai nói đúng , cả làng tui , đều có người thân ở nước ngoài , nha trang nha",,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
bởi vì nếu vay đc hay có sẵn số t để đóg đi chúg nó sẽ ko đi vì tư duy làm ság tối ăn. tui đi với mấy đứa miền tây nó bảo thế,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Vĩ tuyến 13 thuộc miền Trung - cũng nghèo...nhưng cả xóm tui chẳng thấy ai đi xuất khẩu lao động. Thống kê cả tỉnh thì số lượng lao động ở nước ngoài thuộc hàng thấp nhất cả nước...,,southern,,youtube:_zxXLiGyyGk,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Chú tui là giám thị trại cải tạo ,2 anh rễ tui là tù binh ,nên rất hiểu",,southern,,youtube:uBHyxzm0vN4,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Nếu đây không phải là một câu chuyện tiểu thuyết của ""bên thắng cuộc "" để tự ca tụng ch. sách nhân đạo của chế độ mới thì cũng đáng đời cho vài kẻ một thời không có lý tưởng nhưng lợi dụng thế lực để ăn trên ngồi trước nếu có cơ hội vẫn hiếp đáp cả phe mình lẫn đối địch. Nhưng tui tin trường hợp này rơi vào ngữ cảnh một.",,southern,,youtube:uBHyxzm0vN4,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Đọc một câu truyện đầy giả tạo , gần 40 năm 75 thì lớn tuổi hơn tui nên không kêu bằng thằng , nhưng ""ông"" nầy xạo đến mức trơ trẻn rồi . Ông ta không biết gì về guồng máy miền Nam laji cũng chẳng biết gì về trại tù cải tạo 😂.",,southern,,youtube:uBHyxzm0vN4,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
",,, giọng đọc dở ẹc ! không lôi cuốn người nghe và, câu chuyện giả trất, thằng anh hai chả có chi tiết gì để con chị ba mang ơn sâu sắc để cư xử như vậy !... xạo ke !",,northern,,youtube:uBHyxzm0vN4,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Quá trời cá cơm ... Mỹ sướng thiệt 🐋🐋🐬🐬🐋🐬,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Xem líp tuấn bui quá trời..xem kéo cá ham quá..2 chú cháu kéo cá quá ham chúc mừng...❤❤❤,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Nghe tuần cười chị cũng cười theo muốn bể bụng luôn nè 😂😂,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tuấn ơi Tuấn kéo cá mà Tuấn cười quá trời. Tôi xem mà mắt cười theo cười chảy nước mắt luôn á. Cá thấy mê quá Tuấn ơi,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ban mê thuột đang coi TUẤN và anh DŨNG kéo cá vui quá nè .MÊ QUÁ .🎉❤❤,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tuần đi quay khắp nơi cho fan dc trải nghiệm online. Cảm ơn Tuần nha. Nói nhỏ nè Tuấn, các mác nơi cổ của Tuấn sao lại cho cả thế giới thấy trong khi mình quay lên hình vại nếu có xảy ra nữa thì nên che lại nha hoặc dời nó đi chỗ khác kog ai thấy 😂😂😂. Chúc Tuần mai thành công mau trở thành đại gia",,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Cho này hôm gần nhà chị,,hôm bữa lấy vợt ra vợt về ăn ca năm luôn,chien bot rất ngon.tuần thích Virginia Beach rồi hả qua đây hoài luôn hen.",,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tuyệt vời quá em trai ❤❤tuấn ơi chị ở quê châu đóc an giang nè ông xã chị mấy mấy chuc năm rồi nhưng chị thích đi mỹ lắm em làm may cho chi anh đó đi,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cô ở Florida Ở VN củng có nhà khi nào chu thích về VN thì có cô nè !,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Thây ham quá trời luôn,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tuấn oi cháu kết nối cho cô đi. Cô ở vn nè. Cô cũng cô don. Mong Tuấn giúp cô,,southern,,youtube:KEH_cW8hrDs,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Mình cũng người miền nam. Mà mình hổng thấy vậy. Chưa kể mình là người Việt Nam. Đất nước bao nhiêu lần bị xâm lăng đô hộ. Nếu người việt nghĩ theo kiểu an phận như vậy. Thì từ lâu mình đã là đất của Trung Quốc rồi. Bắc hay nam thì vẫn tự hào là người việt nam!,,southern,,youtube:RQIzZL9mXz8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Lại giả dối. Nhà tui 5 đời ở miền Nam, chưa bao giờ xem miền Nam là 1 quốc gia riêng cả. Lừa ai vậy hả",,southern,,youtube:RQIzZL9mXz8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui sinh ra sau sống trong hoà bình chỉ có 1 đất nước thống nhất. Lên tui không có phân biệt vùng miền. quá khứ hãy để nó trôi đi,,southern,,youtube:RQIzZL9mXz8,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
Chả có miền nào ở đây hết chỉ có những người Việt Nam với lý tưởng đứng lên chiến đấu để thống nhất đất nước,,northern,,youtube:RQIzZL9mXz8,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Tui lại biết thêm 1 kênh chính nghĩa❤🎉,,southern,,youtube:RQIzZL9mXz8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Xàm, nói chuyện quơ đũa cả nắm",,southern,,youtube:RQIzZL9mXz8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tui người miền Nam mà có thấy vậy đâu? Kênh này lùa gà vãi, nên nhớ miền Nam trc khi bị chế độ quân sự bắt buộc cho VNCH thì làm việt cộng chính là lựa chọn yêu nước của người miền Nam lúc đó, sau khi bị đi lính bắt buộc thì mới bắt đầu thay đổi thôi",,southern,,youtube:RQIzZL9mXz8,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Các bạn để ý có rất nhiều từ ngữ của miền trung ( Quảng nam, Quảng ngãi…) trùng với miền Tây nam bộ: gọi cha là Ba, “ về” = “zìa”, “ làm” = “ mần “, “bệnh” = “ bịnh “, …. Nên có thể nói tổ tiên người miền nam là miền trung.",,central,,youtube:EVRGvIfHS5A,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
Ở VN có 54 dân tộc cơ mà. Đâu riêng gì mấy dtoc mà các bạn nói. Ở Myanmar có 135 dân tộc và có hơn 100 ngôn ngữ địa phương. Ở Indonesia có khoảng 1300 nhóm sắc tộc có hơn 700 ngôn ngữ địa phương. Chúng ta đã có mặt trận dân tộc thống nhất thành lập gần 90 năm ( tiền thân của MTTQ ngày nay). Vậy nên chúng ta nên đoàn kết và thống nhất làm 1.,,northern,,youtube:EVRGvIfHS5A,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Nhiều người miền Nam nói: “Tui không giống người Bắc, cũng không giống người Trung.” Theo bạn, sự khác biệt này đến từ lịch sử Nam Tiến hay chỉ là do thời hiện đại?",,southern,,youtube:EVRGvIfHS5A,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Chúng tui là Phù nam là Champa là Khmer kg có dính líu về bắc kì chút nào .,,southern,,youtube:EVRGvIfHS5A,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Tui cũng là người miền Nam tui cũng ghét bk, nhưng nguồn gốc của tui ở tận Vân Nam Trung Quốc và tui cũng căm thù Trung Quốc",,southern,,youtube:EVRGvIfHS5A,,"{""northern"": 0, ""central"": 0, ""southern"": 4}"
Bài hát rất hay và ý nghĩa thật sự rất thích luôn nè,,southern,,youtube:ooElO69c5Ns,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Hay quá trời luôn á Ý ơiii,,southern,,youtube:ooElO69c5Ns,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Hay quá trời luôn bạn ơi chúc bạn nhiều sức khỏe và hạnh phúc nhé. Chia sẻ đúng lúc,,southern,,youtube:ooElO69c5Ns,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ngoại tui là cựu phi công vnch khi Quân Giải phóng vào ngoại tui luôn có cơ hội lái máy bay đi trước... nhưng ông đã ở lại và Bộ Đội khi biết ông là phi công thì họ mừng lắm...sau này ngoại tui còn lái máy bay đánh polpot và dạy cho bộ đội lái máy bay của Mỹ nữa ngoại tui được tặng rất nhiều huân chương...,,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 4}"
"Ngoại tui từng mang hàm đại uý không quân vnch nè, ông kể là ông vào trại cải tạo được tầm 2 tuần thì được cho ra trại ròi chuyển sang dạy lái máy bay với lái máy bay đánh nhau đóng quân ở qk1 luôn :))",,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Ông nội tui từng là lính vnch, ổng làm sửa máy bay, đóng quân ở ngoại ô thành phố. Sau này thì cứ tới ngày lễ thì ông nội tui mang cờ ra treo, lúc đó mình còn nhỏ mới tầm 3- 4-5 tuổi thôi còn hỏi sao ông nội treo cờ nữa, giờ thì mik 20 tuổi ông nội cũng mất rồi.",,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Phiến diện! Chỉ không tới 1/20 dân Sài Gòn di tản theo Mỹ. Còn rất đông người ở lại. Sau đó họ làm ăn sinh sống bình thường, có gđ đi kinh tế mới, có người sau này đi TNXP, đi bộ đội, làm công nhân, viên chức... Giật tít và nói như vậy chẳng khác nào chửi cha người dân SG, quơ đủa cả nắm cho người SG là Nguỵ...",,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Nếu như đầu hàng rồi thì đâu ai làm gì đâu mà sợ dữ vậy nhỉ :)),,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Hồi đó tui đc bác hai tui kể hồi đó ông hai(anh hai của bà nội) tui đã từng có ý định làm lính vnch nhưng bà nôi tui là người ko thích vnch vì ông hai tui thương bà nội tui nên quyết định đi theo quân giải phóng miền nam nhưng tui vẫn thấy người thật ông vì ông đã mất khi làm nhiệm vụ bị lính Mỹ bắn chết nên tui chỉ nhìn ông hai qua hình😢😢😢,,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 8}"
Trước cả nhà ngoại tui định trốn đi mỹ mà bà tôi khong chịu muốm ở lại cả nhà thương bà nên ở lại đây lun🥹👏,,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Chi nhung nguoi co no mau voi nhân dân cách mang moi trưng tri. Đôi vơi nguoi dân va binh sỹ vnch phai đi linh thi đêu được khoan hông. Thư hoi nêu my va nguy quân thăng cuộc thi nhưng người công san se bi đôi xử ra sao?,,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Nói nhỏ nè,thổi nồng độ cồn đi rồi ae tha cho,ey ông thổi chưa đồng chí,rồi,cho xin 8trieu anh zai",,southern,,youtube:IokP1PPiiCw,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Đây cũng đk gọi là góp công xây dựng tổ quốc giàu đẹp nè. Chứ nhà của lụp xụp thì miền bắc chúng tôi có câu lắm tiền để làm j,,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Đúng rồi ...vô miền nam ăn dĩa cơm 35k chê đắt vậy ai mà hầu tui mày,,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ối giời ơi ! Vãi cả linh hồn,,northern,,youtube:MunlHa53uFA,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
"Tui sợ té nha 😂, gạch này thì dễ bể xương hông lắm",,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"Xây cả ra vỉa hè thì chắc chắn là của ""Sếp"" nào rồi. Củi này to nhở",,northern,,youtube:MunlHa53uFA,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
Mấy nhà kiểu này hay bị đọc lệnh lắm nè😂,,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Theo cất nhà vừa phải còn để hộ thân cất chi mấy tỷ dữ vậy ,làm xong đổ nợ ,đại gia làm cho lắm cũng mệt",,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"Bà cô bên vợ tui 2 vợ ck có 2 đứa con gái đi xklđ nhật bản gửi tiền về xây cái nhà 4 tầng ,2 vợ chồng chú bên vợ đi xklđ bên đài 3 năm về dư được 7 800tr vai thêm hơn tỏi để xây nhà, rồi lại qua đài làm trả nợ dần 😂",,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Mấy người bắc khoái sĩ lắm. Xóm tui 2 cái nhà cao nhất của người bắc 😂😂😂. Còn mấy ông miền tây thì nhà rộng dễ bán hơn 😂😂😂,,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Nhìn đẹp nhưng trời mưa hổng dám dô,,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Cảnh nông thôn it nguoi làm đc nhà như này lám😂nhà này tui ko giám mơ.nhàmình làm gọi là có nhà đệ ở.miẽn sao gọn gàng sach xe,,southern,,youtube:MunlHa53uFA,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
