text,source,region,label_source,confidence,match_score
"Người Huế có một chất giọng nói ngọt ngào đặc trưng cùng với đó là những cụm từ ngữ hay câu từ mà nghe chỉ có người Huế với nhau mới hiểu. Điều này khiến nhiều người không khỏi cảm thấy thú vị và thích thú. Dưới đây là bộ “từ điển” tiếng Huế thông dụng (tham khảo trên trang Thừa Thiên Huế) dành cho những ai yêu tiếng Huế, muốn biết nhiều hơn về tiếng Huế, mời các bạn tham khảo. Từ điển tiếng Huế A rứa thê: lắm. Ai biết: có biết đâu, ai mà biết được. Ai biểu: ai mượn, ai bảo. Ai chịu cho nổi: không ai chịu nổi. Ai dè: ai có ngờ đâu. Ai đời: ai ngờ. Ai mô về nấy: ai đâu về đấy. Ai mô trả nấy: phần ai người ấy trả. Ai mượn: cũng vì. Ai răng tui rửa: Ai sao tôi vậy. Ai nấy: mọi người, người nào người nấy. Ai vẽ : ai bảo/hậu quả do mình gây ra. Ai từng đời: sao có chuyện như vậy. Anh hí: anh nhé (Anh nhớ chuyện nớ, anh hí). Anh răng em rứa: anh sao em vậy, vâng lời. Ăn dặm: ăn thêm bửa. Ăn dín dín (Ăn nhín nhín): Ăn ít chút, đừng ăn nhiều. Ấp ngủ: ấp, dỗ nằm ngủ. Ẩu tả: làm ẩu, làm dối, cẩu thả, không đúng cách. Ba bảy mười bốn: nói không trúng, nói tầm bậy. Ba bị: ông ăn mày. Ba cái đồ quỷ: những đồ không đáng kể, không ra gì, không đáng. Ba hoa xích đế (ba hoa chích chòe): ăn nói ba hoa, không nghiêm túc. Ba hồi ri ba hồi rứa: thay đổi luôn luôn . Biết khi mô: biết bao giờ (Biết khi mô mới có người thương tui thiệt tình). Biết làm răng chừ: biết làm sao bây giờ (Chuyện đã lỡ dĩ như rứa, biết làm răng chừ). Biết mặt ngang mặt dọc: biết rõ (Có người bạc trốt chưa biết cơm hến mặt ngang mặt dọc răng). Biết mặt tau (lời đe dọa): sẽ làm cho đối thủ điêu đứng, làm cho biết mặt, làm cho ""nể bản mặt"" (Mi hỗn hào coi chừng biết mặt tau). Biết mần răng: biết làm sao (Thương em nỏ biết mần răng, mười đêm ra đứng trông trăng cả mười - Ca dao Huế). Biết mấy cho bưa: biết mấy cho vừa (Vợ chồng ham làm giàu, biết mấy cho bưa). Biết mô: 1. Biết gì đâu, không biết (Anh bỏ mô tui biết mô mà lấy); 2. Có thể, biết đâu đấy (Biết mô hắn đứng về phe bên kia). Biết mô là bến bờ: mênh mông, vô cùng (Đời là bể khô biết mô là bến là bờ). Biết mô mà mò: biết mô mà tìm (Ăn trộm lấy hết, biết mô mà mò). Biết phong phóc: biết rõ, trúng phong phóc (Chuyện thiên hạ mà cái chi anh cũng biết, biết phong phóc là khác). Biết răng: biết gì (Chuyện nớ mi biết răng). Biết răng chừ: biết đến khi nào (Biết răng chừ cho nước ráo làm mây, cho sông Hương hết chảy, dạ nầy mới thôi thương - Ca dao Huế). 2. biết làm sao bây giờ (Chuyện đã vỡ lở ra rồi, biết răng chừ. Trời hành, biết răng chừ). Biết răng không: biết sao không (Biết răng không, hai đứa sắp lấy nhau). Biết ri: nếu biết thế này (Biết ri, anh lấy em cho rồi). Biết rứa: nếu biết thế (Biết rứa thì em cho anh cho rồi). Bỏ đi răng đành: bỏ đi sao đành, không đành đoạn (Em mô có lỗi chi với anh mà anh bỏ đi răng đành). Bỏ đồ màu: nêm gia vị vào món ăn (Em nấu cơm quên đơm vô rá, em kho cá quên bỏ đồ màu - Hò Huế). Bỏ giỏ: bỏ trong túi một cách chắc chắn (Đi thi kỳ này, bằng Tú tài coi như bỏ giỏ). Bỏ mứa: ăn còn dư (Bỏ mứa cơm rứa là tội trời). Bồn: 1.bồng (Bồn con cho con bú); 2. vồn đất: (Bồn khoai); 3. khoảnh đất xây cao để trồng cây, phòng lúc ngập lụt cho khỏi chết (Bồn trầu). Bơn lên để xuống (bưng lên để xuống, bơn lên bơn xuống): đưa lên đưa xuống (Chuyện không ra chi mà cứ bồn lên để xuống, bơn lên bơn xuống, một chặp thành chuyện quan trọng). Bổ béo chi mô (thấm béo chi mô): không đáng (Bổ béo chi mô mà cũng thích bắt tay đàn bà con gái). Tiếng Huế Bổ cái oạch: té cái ịch (Đường trơn trợt bị bổ cái oạch). Bổ chổng mông: bổ té sấp (Bị trượt chưn bổ chổng mông). Bộ rứa: thế thì (Bộ rứa tui nói láo hay răng). Cà gật cà tang: không thông suốt, có trắc trở. Cà kê dê ngỗng: chuyện không đâu vào đâu mất thì giờ. Cà rịch cà tang: chậm rãi, không nhanh nhẹn. Can chi: không sao đâu. Can chi mô: không can hệ gì đâu. Dám chọc mệ: ý nói ""dám đụng đến người bề trên. Dạn miệng dạn mồm: dám ăn dám nói, có gan dám nói. Da diết: không vơi, không nguôi, quá sức, tha thiết . Dang nắng: phơi nắng. Dài lòn thòn: dài lòng thòng. Dễ ẹc: quá dễ. Dị: khác lạ với thường tình. Dị chưa tề: lạ chưa, chướng quá, khó coi quá. Dị òm: chướng quá, kỳ quá, người ta cười Dòm lui dòm tới: nhìn trước nhìn sau Dòm mặt: 1. nhìn mặt để ngắm nghía; 2. lễ dạm hỏi coi là lễ dòm mặt. Đằng nớ: đầu đó, đằng kia. Đại nội Huế Một số từ xưng hô đặc biệt cũng được sử dụng trong ngôn ngữ Huế Bố thì gọi là BA Mẹ thì gọi là MẠ Ông Bà thì gọi là ÔN MỆ (Ôn nội, Mệ nội, Ôn ngoại, Mệ ngoại…) Bố Mẹ của Ông Bà thì gọi là CỐ Em hoặc chị của Bà Nội hay Bà Ngoại thì đều gọi là MỤ Ra đường gặp người già nếu không thân thích thì thường chào là “THƯA MỤ” (từ “Thưa” ở Huế được dùng như từ “Chào”) Chị gái hay em gái của Bố thì đều gọi là O (chữ O tương đương với Cô) Anh trai hay em trai của mẹ đều được gọi là CẬU Vợ của CẬU được gọi là MỢ (người vùng quê ở Huế còn gọi CẬU là CỤ, gọi MỢ là MỰ) Chị gái hay em gái của mẹ đều gọi là DÌ Chồng của DÌ được gọi là DƯỢNG Vợ của CHÚ được gọi là THÍM Chỉ có anh trai của Bố hoặc vợ anh trai của Bố thì mới được gọi là Bác.",youtube:-_IakaDAOhg,central,lexicon,medium,64
"Mình nghệ an cũng ns răng ,mô,chỉ,rứa nhé bạn",youtube:-_IakaDAOhg,central,lexicon,medium,3
"Bạn nữ này nói giọng Huế, nghe rất dễ thương, xin lỗi vì mình không biết năm sinh của bạn nên mình xin phép thất lễ tí nhé. Nhân tiện đây mình cũng chia sẻ một số câu nói của người Sài Gòn mình :)) 1. Ngon a rứa -> Ngon quá vậy trời 2. Trời đẹp a rứa -> Trời đẹp quá vậy :))",youtube:-_IakaDAOhg,central,lexicon,medium,2
"Giọng chj dethuong rứa , nghỉ hè ni chặc em xuống Huế chơi đây chj hầy",youtube:-_IakaDAOhg,central,lexicon,medium,3
Răng chị nói giọng lạ rứa,youtube:-_IakaDAOhg,central,lexicon,medium,2
"""rứa hè"" có vẻ giống ""dữ vậy"" =))",youtube:-_IakaDAOhg,central,lexicon,medium,2
"Học là phải áp dụng ngay và luôn : Chu choa mẹ ơi bạn đáng yêu "" A rứa "". Nhìn đôi môi bạn thôi mình cũng muốn kiss "" Dễ sợ "". Nói chung là mình thèm bạn "" Dã man "" luôn ấy. Cho mình biết bạn ăn cái chi mô mà lại dễ thương "" Rứa hè "". Mình mà lấy được bạn chắc mình yêu thương bạn "" Vô hậu "" luôn..... :)) P/S: Nội dung chỉ mang tính chất học tập :))",youtube:-_IakaDAOhg,central,lexicon,medium,4
"Giọng Huế của HP hay vô hậu, răng mà hay rứa hè .",youtube:-_IakaDAOhg,central,lexicon,medium,3
Rứa hè 🤭,youtube:-_IakaDAOhg,central,lexicon,medium,2
Mi đi mô rứa,youtube:-_IakaDAOhg,central,lexicon,medium,2
Đi mô rứa Đi đâu đấy,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Dạ mô mô đi đâu cấy,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Chi mi răng rứa mô,youtube:rWTzDu1nj-s,central,lexicon,medium,3
Mạ đi hồi mô mạ về rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mạ đi hồi mô mới về rứa có nghĩa là mẹ đi đâu mới về vậy vì tôi là người Huế nên tôi biết,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mẹ đi mô mà lâu về rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Răng t nói mi mua đồ cho t răng mi có mua đồ cho t mô nờ dịch đi😊,youtube:rWTzDu1nj-s,central,lexicon,medium,3
Mẹ đi đâu về vậy bắc Mệ đi mô về rứa nghệ An,youtube:rWTzDu1nj-s,central,lexicon,medium,2
"Dịch đi nhé : Mi làm cái chi rứa , rứa bỏ cái chi vào cái bì",youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mạ đi hồi mô mạ về rứa ❤ em người haế,youtube:rWTzDu1nj-s,central,lexicon,medium,2
CHI TÊ RĂNG RỨA CHU CHOA MẠ ƠI NGƯỜI CHI MÀ GHẾ GỚM RỨA HÈ,youtube:rWTzDu1nj-s,central,lexicon,medium,5
Em là người Huế câu đó dễ mạ đi hồi mô về rứa😊😊😊😊,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Má đi hồi mô má zê rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Tui người huế nè ai trả lời sai thì thử học nhoa.Mạ đi mô mạ về rứa dịch là. Mẹ đi đâu mẹ về thế,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Đi mô rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
miền trung em nói mẹ mới đi mô về rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mẹ đi hồi mô mẹ về rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Ui chao cun trái thắng mô rứa dịch đi,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mẹ đi ở mô mẹ về rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mạ đi hồi mô mạ về rứa là:mẹ đi hồi nào về??,youtube:rWTzDu1nj-s,central,lexicon,medium,2
"''Mạ đi hôm mô mới về rứa?'', nhà ông em ở huế em nghe tiếng huế nhiều rồi",youtube:rWTzDu1nj-s,central,lexicon,medium,2
Tiếng Huế: Mạ đi hồi mô mạ về rứa Tiếng Quảng Ngãi: Mẹ đi hồi nào mẹ về vậy,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mẹ đi hồi mô mẹ về rứa,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mạ đi hôm mô về rứa : mẹ đi ngày nào về vậy (em người Huế mà),youtube:rWTzDu1nj-s,central,lexicon,medium,2
Anh đố nhầm ng rồi em ng huệ này anh Quê cha đất tổ em đấy Mạ ơi mạ mần cái chi chi rứa :))),youtube:rWTzDu1nj-s,central,lexicon,medium,2
Mạ đi hồi mô về rứa...mẹ đi khi nào về,youtube:rWTzDu1nj-s,central,lexicon,medium,2
Răng mà hay rứa !!!,youtube:cGqNJ2WjF0s,central,lexicon,medium,2
"Cũng thích coi bé này chill chill nhưng mỗi lần ẻm vãi vãi là hết hồn, vãi nhiều quá mình sợ liệu theo ghê 😢",youtube:kHeagWAXxHQ,northern,lexicon,medium,3
"tui người hội an mà coi vlog của c Vy mới bt nhìu quán v lun kkk, có nhìu quán lowkey dữ lm",youtube:kHeagWAXxHQ,southern,lexicon,medium,2
Tui ở bình định nè,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
Nẩu ở bình định nè mờ nghe ân nòi ẩn nói tui hân hiểu luôn á!,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
"chu cha, trời mưa làm ly bầu đá với ông ba nó đã sao nó đã, má ơi lấy con thêm cục đá cho uống hết ly trà đá chống cháy cái má ơi",youtube:FlNPTlFsXSk,southern,lexicon,medium,2
Tui bình định nè nhiều đặt sản lắm😂❤,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
"""Chô cha trời mưa làm li bào đá dúng ông ba sao nó đã sao mà nó đã má ư lấy con cục đá"" Đỉnh ko ae tui Tui Bình Định đấy còn ba mẹ tui thì Nghĩa Bình",youtube:FlNPTlFsXSk,southern,lexicon,medium,3
ăn cé xe đẹp trè đé chèo bẹn chơi cho đẻ chu cha trời mưa làm ly bồ đá giống bã seo nó đã má ơi cho con thim cục đá uống chống cháy đi má ơi,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
"chu cha trời mưa làm ly bầu đá với ông ba nó đã sao nó đã, má ơi lấy con thêm cục đá cho uống hết ly trà đá chống chấy cái má ơi",youtube:FlNPTlFsXSk,southern,lexicon,medium,2
Má cho con ly trà đá đi má ơi tui bình định ❤🎉,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
Dễ tui người bình định nè,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
Tui là ngừ Bình Định nè ❤❤❤,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
tui ng BD mà s tui chx nghe,youtube:FlNPTlFsXSk,southern,lexicon,medium,2
"Tiếng ông nói chổ nào zậy tui còn hổng biết, mà tui dân bđ chưa nghe bao h😢😢",youtube:FlNPTlFsXSk,southern,lexicon,medium,3
Tui người quảng Ngãi nè,youtube:N6BJjcfwNSQ,southern,lexicon,medium,2
“Mi nói cái chi mô rứa”,youtube:N6BJjcfwNSQ,central,lexicon,medium,2
Có ai ở gia Lai ko tui ở gia Lai nè 👇🏽,youtube:N6BJjcfwNSQ,southern,lexicon,medium,2
Ủa tui nói được nè tui khum phải người gia lai,youtube:N6BJjcfwNSQ,southern,lexicon,medium,3
"Với dân miền Tây khác cha khác mẹ Nhưng khi lớn lên cùng nhau Tụi anh kêu là ní ná dô Với dân miền Tây khác cha khác mẹ Nhưng khi lớn lên cùng nhau Tụi anh kêu là ní ná Bán bà con xa Ai đem mua láng giềng gần Nhà cần gì nhiều tầng Cho cái tình mới quý giá Thích ngồi say sưa Nhìn ngắm trời mây mưa Dù mắm cà hay dưa Nhà tao một kí cá Sung sung thì anh em kêu lên Chí quá một hai ba dô Bao nhiêu xí xóa Nếu mà oke anh kêu là quất Thấy mà qua luôn anh kêu là huốc Đón thì anh em anh kêu là rước Có người nông dân hay trong nhà nước Bao nhiêu trong lòng nói ra hết ráo Từ hồi năm lớp sáu Nghe đờn ca êm ru Cái kiểu Hiphop Của người miền Tây nó vậy Ê đừng có nói bậy Khi người miền Tây lên stu Mới mấy bữa nay Anh kêu là hổm rài Còn đứa nào giỡn nhây Anh kêu cà rỡn quài Nếu mà lỡ thua nhưng chưa tởn mày Chiều là bới cơm Ra ăn ngồi xổm nè Tối chờ trăng lên, anh giăng lưới Nói lời yêu em xong qua năm cưới Tính tình dân quê không ưa gian dối Thích trồng cây xanh, anh chăm anh tưới Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên minecraft Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên mic rap Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây Quê tao Có sông có núi có cánh cò Có tình có nghĩa mày lấy hông Về đây tao đón, về đây tao đón Sớm trưa tới chiều mình cùng liu riu Nhà gọi là xí cũ Với con tùa hia Ông bà này có tiếng nhất Cái vùng nhà quê Chẳng khoe khoang gì Nhưng được cái tình nghĩa Hỏi đâu mà không biết Nhà ông Thịnh bà Khê Ổng dễ dãi, sống lại thật thà Làm việc không trễ nải Ổng còn thờ Phật bà Đúng là của cải xe đậu chật nhà Mà tính ổng bình dân Ông này thiệt là Miền Tây cầu toàn làm mấy vựa tôm Con nào con nấy mập ú mà ngon Rượu bia một đống uống hết thì thôi Chủ yếu là để đãi Xóm giềng bà con Mà trên bờ kênh bờ ao Xe ông đạp cót két Ngồi trên dạt tre Đâu cần phải lót dép Mà thôi vô đi Mình làm cái róp rẻng Xiết siết để cho cái mỏ mình Đừng có nhai nhóp nhép Về phương đó, phía Tây miền Việt Nam Nghe điệu hò câu hát khẽ mơ màng Mùi hương lúa thắm bên dòng Hậu Giang Cho ngày mùa nay thiếp sẽ bên chàng Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên minecraft Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây Anh nghe anh hò Kiểu mà dân thôn Ăn chơi sành điệu nà Đu theo thời thượng Xu hướng là model Hai ba cô em Thương đem lòng chịu nà Mến nhau đồng điệu Thì mới sáp vô quen Khoái mà không cua thì kêu là rén Bữa nào xôm xôm Rượu ngon mồi bén Là đợi anh vô 500% công lực cái Chứ tỉnh táo quá Nó cục mịch khô khan Làm xong là chơi, nghỉ ngơi điều độ Cái nết miền Tây kiểu vậy đó giờ Đừng ghẹo gái quê Chân đất đồ bộ nà Cỡ mấy em rượt trâu chạy có cờ Ai ơi đi xa quê ta có nhớ Có cớ để còn về Ghé qua chơi nè Bắt cá rô đồng lên làm chầu nhậu Thuốc rê là rảnh Ra ré ba hơi Nói là đủ ăn mà hơn phần sướng Hễ đi làm thuê thì kêu mần mướn Đồ ăn thì đem máng lên mé vách Còn vòng vàng Thì đem chôn dưới gầm giường Ở dưới miệt này Người ta mà thương á Là người ta thường nhìn tâm nhìn tướng Nó quanh năm cắm mặt Ao đìa ruộng nương Làm nhiêu ăn nhiêu là chuyện bình thường Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên minecraft Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây",youtube:c0QVsKxCi18,southern,lexicon,medium,3
"Với dân miền Tây khác cha khác mẹ Nhưng khi lớn lên cùng nhau Tụi anh kêu là ní ná dô Với dân miền Tây khác cha khác mẹ Nhưng khi lớn lên cùng nhau Tụi anh kêu là ní ná Bán bà con xa Ai đem mua láng giềng gần Nhà cần gì nhiều tầng Cho cái tình mới quý giá Thích ngồi say sưa Nhìn ngắm trời mây mưa Dù mắm cà hay dưa Nhà tao một kí cá Sung sung thì anh em kêu lên Chí quá một hai ba dô Bao nhiêu xí xóa Nếu mà oke anh kêu là quất Thấy mà qua luôn anh kêu là huốc Đón thì anh em anh kêu là rước Có người nông dân hay trong nhà nước Bao nhiêu trong lòng nói ra hết ráo Từ hồi năm lớp sáu Nghe đờn ca êm ru Cái kiểu Hiphop Của người miền Tây nó vậy Ê đừng có nói bậy Khi người miền Tây lên stu Mới mấy bữa nay Anh kêu là hổm rài Còn đứa nào giỡn nhây Anh kêu cà rỡn quài Nếu mà lỡ thua nhưng chưa tởn mày Chiều là bới cơm Ra ăn ngồi xổm nè Tối chờ trăng lên, anh giăng lưới Nói lời yêu em xong qua năm cưới Tính tình dân quê không ưa gian dối Thích trồng cây xanh, anh chăm anh tưới Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên minecraft Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên mic rap Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây Quê tao Có sông có núi có cánh cò Có tình có nghĩa mày lấy hông Về đây tao đón, về đây tao đón Sớm trưa tới chiều mình cùng liu riu Nhà gọi là xí cũ Với con tùa hia Ông bà này có tiếng nhất Cái vùng nhà quê Chẳng khoe khoang gì Nhưng được cái tình nghĩa Hỏi đâu mà không biết Nhà ông Thịnh bà Khê Ổng dễ dãi, sống lại thật thà Làm việc không trễ nải Ổng còn thờ Phật bà Đúng là của cải xe đậu chật nhà Mà tính ổng bình dân Ông này thiệt là Miền Tây cầu toàn làm mấy vựa tôm Con nào con nấy mập ú mà ngon Rượu bia một đống uống hết thì thôi Chủ yếu là để đãi Xóm giềng bà con Mà trên bờ kênh bờ ao Xe ông đạp cót két Ngồi trên dạt tre Đâu cần phải lót dép Mà thôi vô đi Mình làm cái róp rẻng Xiết siết để cho cái mỏ mình Đừng có nhai nhóp nhép Về phương đó, phía Tây miền Việt Nam Nghe điệu hò câu hát khẽ mơ màng Mùi hương lúa thắm bên dòng Hậu Giang Cho ngày mùa nay thiếp sẽ bên chàng Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên minecraft Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây Anh nghe anh hò Kiểu mà dân thôn Ăn chơi sành điệu nà Đu theo thời thượng Xu hướng là model Hai ba cô em Thương đem lòng chịu nà Mến nhau đồng điệu Thì mới sáp vô quen Khoái mà không cua thì kêu là rén Bữa nào xôm xôm Rượu ngon mồi bén Là đợi anh vô 500% công lực cái Chứ tỉnh táo quá Nó cục mịch khô khan Làm xong là chơi, nghỉ ngơi điều độ Cái nết miền Tây kiểu vậy đó giờ Đừng ghẹo gái quê Chân đất đồ bộ nà Cỡ mấy em rượt trâu chạy có cờ Ai ơi đi xa quê ta có nhớ Có cớ để còn về Ghé qua chơi nè Bắt cá rô đồng lên làm chầu nhậu Thuốc rê là rảnh Ra ré ba hơi Nói là đủ ăn mà hơn phần sướng Hễ đi làm thuê thì kêu mần mướn Đồ ăn thì đem máng lên mé vách Còn vòng vàng Thì đem chôn dưới gầm giường Ở dưới miệt này Người ta mà thương á Là người ta thường nhìn tâm nhìn tướng Nó quanh năm cắm mặt Ao đìa ruộng nương Làm nhiêu ăn nhiêu là chuyện bình thường Và đây là tiếng nói miền Tây Mấy em thích hả lền tay Thắm tình quê hương nơi đây son sắt Em thấy hay trong mắt Trong khắc ghiền ngay Có chàng nông dân đang lên minecraft Không giống như ai khác Mà cho láng giềng hay Câu từ khai thác theo cách miền Tây Đây là văn hóa, âm sắc miền Tây",youtube:c0QVsKxCi18,southern,lexicon,medium,3
tui biết nói giọng mèn mén nè,youtube:_RiNfv5dmws,southern,lexicon,medium,2
Phai tui mua YouTube cua c Tuan kg nieu ai khac la tui kg nhe cac ban,youtube:yLSlk-m3XI0,southern,lexicon,medium,2
"Đúng ra, AI cũng biếtCờVàng3QueLàNGỤY(giả, không thật) doGiặcPhápDỰNG lên năm 1949 (lấy tên là ""Quốc Gia Việt Nam"") để bắt làmChóSănTaySaiGiúp chúng đánh Dân tộc Việt Nam ta khi ấy do Việt Minh tổ chức lãnh đạo. # Rồi khiGiặcPhápBị Việt Minh đánh phải đầu hàng, thì trước khi bỏ chạy về Pháp, chúng bàn giao ""Quốc Gia Việt Nam"" qua cho Đồng minh Mỹ làm chủ mới. # Mỹ trở thành Giặc xâm lược trực tiếp, bèn đổi tên ""Quốc Gia Việt Nam"" thành ""Việt Nam Cộng Hòa"", lại bắt nó tiếp tục làmChóSănTaySaiĐể giúp chúng đánh Dân tộc Việt Nam ta lần nầy doViệtCộngTiếp bước Việt Minh tổ chức lãnh đạo. # Ai cũng biết SỰ THẬT đơn giản rõ ràng đó; # NhưngGiặcMỹ-PhápQuá GIÀU (theo chúng thì có TIỀN LƯƠNG rũng rĩnh để tiêu xài, được nuôi ĂN NO CÀNH HÔNG HỔNG THIẾU BỬA NÀO) so vớiViệtMinh-ViệtCộng(KHÔNG có đồng xu LƯƠNG nào; ăn thì bửa có bửa không) do dân Việt Nam ta NGHÈO nuôi; # và Giặc Mỹ - Pháp cũng quá ÁC (chúng ĐẦY KINH NGHIỆM Thực Dân đàn áp cai trị thuộc địa), quá MẠNH (chúng có bom súng đạn NHIỀU NHƯ NÚI) # Cho nên, dù BIẾT RÕ Mỹ - Pháp là GIẶC Xâm lược, nhưng nhiều người vẫn theo .... # theo lệnh Giặc Mỹ - Pháp bắnGiếtĐồng bào mình-ViệtMinh-ViệtCộng .... # rồi BỊ BẮN LẠI, có khiChếtCó khi bị thương, .... # rồi đâm ra THÙ OÁN !",youtube:c_36BXxpEjw,southern,lexicon,medium,2
"Thấy cảnh lính Ngụy lăm le cây súng, bóp cò, mà tui rất tức giận .... # Giặc xâm lược Mỹ (và Pháp trước đó) lấy quyền gì mà trắng trợn vô nước tui, trút mưa bom bảo đạn, thuốc độc Da Cam Dioxin, lên Rưộng vườn Quê hương tui, NẮM ĐẦU BẮT trai trẻ Đồng bào tui làmLínhNgụyCho chúng sai bảo, bắnGiếtChínhĐồng bào mình, giúp chúng chiếm đóng cai trị Đất nước tui. # Rồi chúng CÚT MẤT về Mỹ, về Pháp, PHỦI TAY, BỎ XỤI LẠI HÀNG CHỤC TRIỆU THƯƠNG PHẾ BINH, VỢ GÓA, CON NÍT MỒ CÔI, BÉ SANH RA BỊ DỊ TẬT KHỦNG KHIẾP DO THUỐC ĐỘC DiOXIN CỦA CHÚNG, .... # cho Dân tộc Việt Nam nghèo NUÔI, CHĂM SÓC. # Vậy mà Chúng cón XÚI, GIÚP VÀ HÙA VÔ với Bành trướng Trung Quốc và Diệt chủng Pôn Pốt đánh nước tui, BAO VÂY CẤM VẬN để Dân tuiChếtĐÓIgiống như hồi 1945; .... # Tui rất tức giận với chúng là Giặc Xâm lược Mỹ - Pháp (không phải Nhân dân Mỹ - Pháp)",youtube:c_36BXxpEjw,southern,lexicon,medium,7
"Ai BẮN Tổng thống Mỹ Donald Trump ? Tổng thống Mỹ Donald Trump qua Việt Nam, tay thì PHẤT Cờ Đỏ Sao Vàng Việt Cộng, miệng thì cười toe toét, là ý nói .... # ""Coi nè ! TUI THEO VIỆT CỘNG rồi nghen !"" # Ở Mỹ hiện nay còn nhiều lính Thủy Quân Lục Chiến , Biệt Kích Dù, Lôi Hổ, Hùm Xám, Trâu Điên, .... (cha ông HUNG CAO nằm trong đám đó ?) trên cánh tay còn khắc chữ ""SÁT CỘNG (Giết Việt Cộng)"" .... # Ngĩa là còn rất NGứA NGHỀ GIẾT VIỆT CỘNG và những người PHẤT CỜ VIỆT CỘNG như ông Donald Trump. # Vậy, rất có thể chính bọn còn NGứA NGHỀ GIẾT những người PHẤT CỜ VIỆT CỘNG như ông Donald Trump nầy đã bắn ông D Trump 2 lần, và đang âm mưu bắn ổng lần 3 (lại vừa mới xãy ra 25-04-2026, giờ Washington DC, Mỹ)!?",youtube:c_36BXxpEjw,southern,lexicon,medium,3
TEN HEN TUONG DA PHAN BOI DONG DOI VA LUONG DAN VO TOI - CAM TAM QUY GOI BUNG BO QUY SATAN HONG HUONG TU LOI SONG THUC TE PHU PHANG DA PHOI BAY DOI VOI MOT KE AC ON MUON DAO GIET NGUOI DA SONG NHUNG NGAY CON LAI TRONG NGHEO KHO VA TUI HAN VA DA CHET DON LANH NHU MOT CON CHO BENH HOAN TRONG NGHIA DIA DAY NHUNG OAN HON VAT VUONG VA NHUNG LOI NGUYEN RUA NAM CANH ..............,youtube:_1bKRG3Rfvs,southern,lexicon,medium,2
Mỗi miền một giọng nghe 👂 tiếng giọng Nghệ An là anh nói anh nghe tui nói tui nghe 😜 haha,youtube:2_ZjlAXyE18,southern,lexicon,medium,2
