dialect,standard,region,sentiment,source,source_split,row_id
Đi đàng ni dừ như trửa đại lộ. To rộng,Đi đường này bây giờ như giữa đại lộ. To rộng,central,,vidia2std,train,10218
Ăn ngủ trong phòng có biết trời đất ra răng?,Ăn ngủ trong phòng có biết trời đất ra sao?,central,,vidia2std,train,10219
"chị chơ chú mô rứa, không đọc tiêu đề à","chị chứ chú nào vậy, không đọc tiêu đề à",central,,vidia2std,train,10220
"vô ăn tê , miếng uống nước rồi thu chi nửa.","Vô ăn kia, miếng uống nước rồi thu gì nửa.",central,,vidia2std,train,10221
Ngá tay hay chi mà tag?,Ngứa tay hay gì mà tag?,central,,vidia2std,train,10222
"Chơ răng nựa, cổng nhà đây mà.","Chứ sao nữa, cổng nhà ở đây mà.",central,,vidia2std,train,10223
Vừa lạnh vừa hại sét đánh bể trốc,Vừa lạnh vừa sợ sét đánh vỡ đầu,central,,vidia2std,train,10224
"""Nước sửa rồi nha mạ, mần chi có xanh lè ri.""","Nước sửa rồi nha mẹ, làm gì có màu xanh lè như này.",central,,vidia2std,train,10225
"bữa sau mần chuyến nữa hè, giờ chắc đẹp hơn mọi lần ta đi.","bữa sau làm chuyến nữa nhỉ, giờ chắc đẹp hơn mọi lần ta đi",central,,vidia2std,train,10226
"Làm tao nhớ rồi nha , nhắc chi vậy ? ai biểu dậy ?","Làm tao nhớ rồi nhé , nhắc làm gì vậy ? Ai bảo vậy ?",southern,,vidia2std,train,10227
vô coi nó làm dẫy mà được à,vào xem nó làm vậy mà được à,southern,,vidia2std,train,10228
"Về sống đạ mì biết được, không phải khi mô cụng màu hồng mô.","Về sống cùng đã thì mới biết được, không phải khi nào cũng màu hồng đâu.",central,,vidia2std,train,10229
Sửa mau không mất bò mới mần chuồng là truột chạc đó.,Sửa mau không thì mất bò mới làm chuồng là tiêu đấy.,central,,vidia2std,train,10230
Răng nước ở vùng em màu đục không được xanh a ri hề.,Sao nước ở vùng em màu đục chứ không được xanh như này nhỉ.,central,,vidia2std,train,10231
"""Nói rứa, lỡ sau ni mình bị rồi, người ta nói lại như rứa có tức không anh?""",Nói vậy lỡ sau này mình bị rồi người ta nói lại như vậy có tức không anh?,central,,vidia2std,train,10232
"Tuyệt vời quá Hà Tĩnh quê choa rứa đó, yêu nước nồng nàn.","Tuyệt vời quá Hà Tĩnh quê tôi thế đó, yêu nước nồng nàn.",central,,vidia2std,train,10233
biết nãy đi là mai mốt đám cưới chung rồi,nếu biết nãy đi là sau này đám cưới chung rồi,southern,,vidia2std,train,10234
Thôi cố gắng nốt năm ni là hết 3 năm tam tai chơ đời tau không còn cấy chi nựa rồi,Thôi cố gắng nốt năm nay là hết 3 năm tam tai chứ đời tao không còn cái gì nữa rồi,central,,vidia2std,train,10235
Bé nó tiktok gần 10 triệu người follow. không mần online thì mần chi. tháng hấn kiếm tiền tỉ tề!,Bé nó tiktok gần 10 triệu người follow. không làm online thì làm chi. Tháng nó kiếm tiền tỉ kìa,central,,vidia2std,train,10236
"""Tao đưa vợ đi tuần trước mà không chộ cảnh ni bay ơi!""",Tôi đưa vợ đi tuần trước mà không thấy cảnh này mấy bạn ơi!,central,,vidia2std,train,10237
Gấy Hà Tĩnh sợ hầy?,Gái Hà Tĩnh sợ nhỉ?,central,,vidia2std,train,10238
mai mốt làm cái này được nè,hôm nào làm cái này được này,southern,,vidia2std,train,10239
"Ngon và rẻ, chơ vô chi mấy chỗ ni.","Ngon và rẻ, chứ vô chi mấy chỗ này",central,,vidia2std,train,10240
khách đợi 15 phút đã kêu giời rồi.,khách đợi 15 phút đã kêu trời rồi.,northern,,vidia2std,train,10241
Ăn tại gốc là ngon nhứt.,Ăn tại gốc là ngon nhất.,southern,,vidia2std,train,10242
làm lon chứ hả bạn?,uống một lon chứ hả bạn?,southern,,vidia2std,train,10243
"trời giỡn quài, hổm trúng được 2 triệu thiệt nè","trời đùa mãi, hôm trước trúng được 2 triệu thật này",southern,,vidia2std,train,10244
Thích cấy thời tiết ni,Thích cái thời tiết này,central,,vidia2std,train,10245
"Dân choa nói là làm, không nói cũng mần luôn.","Dân chúng tôi nói là làm, không nói cũng làm luôn.",central,,vidia2std,train,10246
"Hồi nớ mệ ưng hút thuốc lá ni lắm, chừ không biết mệ còn hút nựa không?","Hồi đó mẹ thích hút thuốc lá này lắm, bây giờ không biết mẹ còn hút nữa không",central,,vidia2std,train,10247
"3 xe lận, còn một chiếc xe hơi văng qua làn kế bên nữa","tận 3 xe cơ, còn một chiếc xe hơi văng qua làn kế bên nữa",southern,,vidia2std,train,10248
"""Có cây xoài mô bổ không bạn?""",Có cây xoài nào ngã không bạn?,central,,vidia2std,train,10249
địa bàn mà chi lạ rứa.,địa bàn mà gì lạ vậy,central,,vidia2std,train,10250
có ông hồng mô làm công an nựa.,Có ông Hồng nào làm công an nữa.,central,,vidia2std,train,10251
Có khi làm thấy bu bực là đũa cả đánh liền.,Có khi làm thấy mẹ bực là đũa cả đánh liền.,northern,,vidia2std,train,10252
"Thi cuối kì xong là lên kèo liền , lâu dừ không được nói, nghe ngá mồm","Thi cuối kì xong là lên kế hoạch liền , lâu giờ không được nói, nghe ngứa miệng",central,,vidia2std,train,10253
"ên lịch răng, đừng xếp hàng ri nghe?",lên lịch sao đừng xếp hàng như thế nghe,central,,vidia2std,train,10254
Gạy răng cửa vì cái xe ni.,Gãy răng cửa vì cái xe này.,central,,vidia2std,train,10255
Gỏi cá trích mà làm xị đế nữa là bao nhức nách,Gỏi cá trích mà uống 250ml rượu đế nữa là đảm bảo tuyệt vời,southern,,vidia2std,train,10256
Trời mà màu ni thì hiểu bão đến mức mô rồi.,Trời mà màu này thì hiểu bão đến mức nào rồi.,central,,vidia2std,train,10257
răng chừ qua rồi.,sao mới giờ này đã qua rồi,central,,vidia2std,train,10258
"Chery ni bữa ni xuất khẩu ra nước ngoài được giá đó, làm liền đi.","Chery này hôm nay xuất khẩu ra nước ngoài được giá đấy, làm liền đi.",central,,vidia2std,train,10259
Ở mô cụng ngon.,Ở đâu cũng ngon.,central,,vidia2std,train,10260
Bình Định Nẫu cũng nói dẫy,Bình Định tôi cũng nói vậy,southern,,vidia2std,train,10261
mần chiếc ni chi phí rẻ.,"làm chiếc này đi, chi phí rẻ",central,,vidia2std,train,10262
Ở đoạn mô Vĩnh Sơn rứa bạn?,Ở đoạn nào Vĩnh Sơn vậy bạn?,central,,vidia2std,train,10263
"Thời ni ông mô cũng U30 nhích tí mí lấy, thì sớm quá không anh.","Thời ni ông nào cũng U30 nhích tí mới lấy, thì sớm quá không anh.",central,,vidia2std,train,10264
bia ruột của mày nè,bia ưa thích của mày đây này,southern,,vidia2std,train,10265
cho biết cụ thể hai điểm nằm chộ mô?,cho biết cụ thể hai điểm này nằm chỗ nào?,central,,vidia2std,train,10266
"Rồi nó bự ra thêm được xíu nào hôn , làm ăn bất nhơn thiệt chứ.","Rồi nó to ra thêm được xíu nào không , làm ăn bất nhân thật chứ.",southern,,vidia2std,train,10267
Nghe rức cái đầu luôn.,Nghe mà nhức cái đầu luôn.,northern,,vidia2std,train,10268
mày mắc lắm hả? Đi tô tượng lấy lồng đèn dìa cho tao,mày muốn lắm hả? Đi tô tượng lấy lồng đèn về cho tao,southern,,vidia2std,train,10269
Rứa cũng gin chắc hè?,Vậy cũng gần nhau nhỉ?,central,,vidia2std,train,10270
Tui ốm được in ri thì ngon.,Tôi gầy được giống như thế này thì ngon.,central,,vidia2std,train,10271
"chiều đi ra ngoải mà không biết nè ,buồn thiệt chứ.","chiều đi ra ngoài đấy mà không biết đây này ,buồn thật chứ.",southern,,vidia2std,train,10272
"""Mần chuẩn bị váy ta đi ăn cưới hầy?""",Làm chuẩn bị váy ta đi ăn cưới nhé.,central,,vidia2std,train,10273
"""Loạt kẹo đồng nớ mà qua ừ thì dùng được, chơ về quê choa mô dệ.""","Loạt kẹo đồng đó mà qua ừ thì dùng được, chứ về quê tôi đâu",central,,vidia2std,train,10274
"Ta làm ""Hội anh em Nghệ An dọn rác Cửa Lò"" cấy hầy?","Ta làm ""Hội anh em Nghệ An dọn rác Cửa Lò"" cái nhé.",central,,vidia2std,train,10275
"bạn dìa đi, xong xui rồi dô tiếp.","bạn về đi, xong xui rồi vào tiếp.",southern,,vidia2std,train,10276
Ả mô cũng xinh rứa i hè?,Chị nào cũng xinh thế nhỉ.,central,,vidia2std,train,10277
Chùa mô ri hè?,Chùa nào thế nhỉ,central,,vidia2std,train,10278
Sợ xe đạp hắn cuốn xuống cửa hội thì truốt.,Sợ xe đạp nó cuốn xuống cửa hội thì tiêu.,central,,vidia2std,train,10279
sáng em đi làm nắng chơ. Tại giờ mí mưa nhủ?,Sáng em đi làm nắng chứ. Tại giờ mới mưa nhỉ.,central,,vidia2std,train,10280
Nác chè không chị ơi,Nước trà không chị ơi,central,,vidia2std,train,10281
như tui đoán xong chụp màn hình như mà năm ngoái dừ chưa trúng một số.,Như tôi đoán xong chụp màn hình như mà năm ngoái giờ chưa trúng một số.,central,,vidia2std,train,10282
"""Có uống mô mồ, đi tốn mồi thôi.""","Có uống đâu, đi tốn mồi thôi.",central,,vidia2std,train,10283
Bữa đi giao hàng cho ổng thấy ổng dễ thương phết.,Hôm bữa đi giao hàng cho ông ấy thấy ông ấy dễ thương lắm.,southern,,vidia2std,train,10284
Reng ngài Quảng Trị mà cũng biết trang Nghệ An ri hè?,Sao người Qua Quảng Trị mà cũng biết trang Nghệ An thế này nhỉ?,central,,vidia2std,train,10285
"anh em thích chiếc mô thì ghẹo lựa, lo tìm nấm rồi khung ai rượt mô lo.","Anh em thích chiếc nào thì ghẹo lựa, lo tìm nấm rồi không ai rượt đâu mà lo.",central,,vidia2std,train,10286
Năm ni đưa Hoàng Anh Tuấn đi tiếp chơ.,Năm nay đưa Hoàng Anh Tuấn đi tiếp chứ.,central,,vidia2std,train,10287
"ủa răng rứa, chỗ ni ngon mà","ủa sao vậy, chỗ này ngon mà",central,,vidia2std,train,10288
Kinh nghiệm đi qua mấy bùng binh này thì mắt phải đảo như rang lạc,Kinh nghiệm đi qua mấy vòng xoay này thì mắt phải đảo như rang lạc,southern,,vidia2std,train,10289
Như tui ri ai mà bắt được.,"Như tôi rì, ai mà bắt được.",central,,vidia2std,train,10290
anh nói rứa thôi chơ em biết trong lòng anh mê ai mà?,anh nói vậy thôi chứ em biết trong lòng anh mê ai mà,central,,vidia2std,train,10291
"""Gặp đi cụ choa thì lưa mô nựa.""",Gặp phải người nhà tôi thì còn đâu nữa.,central,,vidia2std,train,10292
chở con đi cho nó vui vậy chớ muốn dìa nhà nằm ngay không à,chở con đi cho nó vui vậy chứ muốn về nhà nằm ngay không thôi,southern,,vidia2std,train,10293
"Sợ thiệt, mà sáng mình nhìn hổng thấy rõ như vầy chị he.","Sợ thật, mà sáng mình nhìn không thấy rõ như vậy chị nhỉ.",southern,,vidia2std,train,10294
"mi nói mà, tiền ít mà rứa à?","mày nói mà, tiền ít mà vậy à?",central,,vidia2std,train,10295
"Đáp mẹ xuống thùng rác đi, đỡ phải rửa!","Ném mẹ xuống thùng rác đi, đỡ phải rửa!",northern,,vidia2std,train,10296
"thiệt chơ trong túi không có đủ, lại đi vay mượn người ta chơ phải mô.","thiệt chứ trong túi không có đủ, lại đi vay mượn người ta chứ phải đâu",central,,vidia2std,train,10297
Rồi sáng tỉnh dậy có dám coi hông mấy anh chị,Rồi sáng tỉnh dậy có dám xem không mấy anh chị,southern,,vidia2std,train,10298
Hi vọng sau ngày ni đỏ chơ tay chân không còn chi nựa. Bổ mà cả 2 tay 2 chân bị luôn mà.,Hi vọng sau ngày này đỏ chứ tay chân không còn gì nữa. Ngã mà cả 2 tay 2 chân bị luôn mà.,central,,vidia2std,train,10299
răng chộ ảnh có chi mô mà lẹ rứa?,sao thấy ảnh có gì đâu mà nhanh vậy?,central,,vidia2std,train,10300
"Oách thật. Bóc lịch nựa, mi nét luôn.","Oai thật. Bóc lịch nữa, mày nét luôn.",central,,vidia2std,train,10301
Hại hắn chưởi bên nớ cũng nghe.,Sợ nó chửi thì bên đó cũng nghe.,central,,vidia2std,train,10302
"Tha phương cầu thực mần chi nựa, về Hà Tĩnh người ơi.","Tha phương cầu thực làm gì nữa, về Hà Tĩnh người ơi.",central,,vidia2std,train,10303
bé hóng vụ gì kể chị nghe coi,bé hóng vụ gì kể chị nghe xem,southern,,vidia2std,train,10304
Chưa đến tháng cô hồn mô bay à. Thằng đàn bà đậu đã vô ý thức rồi còn kêu đậu ri can chi,Chưa đến tháng cô hồn đâu chúng mày à. Thằng đàn bà đậu đã vô ý thức rồi còn bảo đậu thế này không sao,central,,vidia2std,train,10305
Nhớ ngồi mô nựa không.,Nhớ ngồi ở đâu nữa không,central,,vidia2std,train,10306
Ham kinh rứa em tôi hè!,Ham kinh vậy em tôi nhỉ!,central,,vidia2std,train,10307
nhà tao ngay đó luôn đó nhóc.,nhà tao ở ngay đấy luôn đấy nhóc.,southern,,vidia2std,train,10308
"Răng mà tội rứa trời, cầu mong tìm thấy cả, tội quá.","Sao mà tội vậy trời, cầu mong tìm thấy cả, tội quá",central,,vidia2std,train,10309
Tào lao bí đao thiệt.,Tào lao thật.,southern,,vidia2std,train,10310
"Nay bà Bông dìa rồi, hóng bả lì xì quá trời","Nay bà Bông về rồi, hóng bà ấy lì xì quá trời",southern,,vidia2std,train,10311
Tưởng vừa mưa lớn vừa cúp điện chớ.,Tưởng vừa mưa lớn vừa cúp điện chứ.,southern,,vidia2std,train,10312
Mai mốt thôi chứ ngày kia là báo lại rồi.,Vài hôm nữa thôi chứ ngày kia là báo lại rồi.,southern,,vidia2std,train,10313
đang coi Tiểu Lý Phi Đao thì 2 cha nội kia quánh lộn.,đang xem Tiểu Lý Phi Đao thì 2 ông kia đánh nhau.,southern,,vidia2std,train,10314
"từ mai, chơ hôm ni chưa tặng nước mô nghe?",từ ngày mai chứ hôm nay chưa nặng nước đâu nghe,central,,vidia2std,train,10315
"dìa chớ, ước gì anh hai dìa dẫn đi phơi năng nà.","về chứ, ước gì anh hai về dẫn đi phơi năng nhỉ.",southern,,vidia2std,train,10316
tao ra mắc công có đứa nhập viện,tao ra kẻo có đứa nhập viện,southern,,vidia2std,train,10317
Mần trắm vịt khởi nghiệp nhỉ 2 o.,Làm trắm vịt khởi nghiệp nhỉ 2 cô.,central,,vidia2std,train,10318
Nghe bài nhạc này mắc mệt!,Nghe bài nhạc này thấy mệt!,southern,,vidia2std,train,10319
"Cấy ni gặp mi, có lẹ mi nhân giống luôn hệ?","Cái này mà gặp mày, chắc mày nhân giống luôn nhỉ?",central,,vidia2std,train,10320
"Ở Sài Gòn mà nhởi, ai cho ra đây","Ở Sài Gòn mà chơi, ai cho ra đây",central,,vidia2std,train,10321
Rứa có kịp ra viện để hôm ni đi cưới không ạ?,Vậy có kịp ra viện để hôm nay đi đám cưới không ạ?,central,,vidia2std,train,10322
"bữa nào về bển, mình dậy sớm bữa đi cho biết","bữa nào về bên đấy, mình dậy sớm một bữa đi cho biết",southern,,vidia2std,train,10323
"Choa đây cũng không có hơn chi mô, khổ lắm rồi thời tiết ơi.","Tôi đây cũng không có hơn cái gì đâu, khổ lắm rồi thời tiết ơi.",central,,vidia2std,train,10324
Sao nghe cứ bốc phét thế nhờ.,Sao nghe cứ bốc phét thế nhỉ.,northern,,vidia2std,train,10325
Giờ mới nhận ra còn nhõn mình chưa làm à?,Giờ mới nhận ra còn mỗi mình chưa làm à?,northern,,vidia2std,train,10326
"Nên làm thẳng nhất có thể, vào nội thành làm tầu nội thành hoặc xe buýt nhanh còn hơn.","Nên làm thẳng nhất có thể, vào nội thành làm tàu nội thành hoặc xe buýt nhanh còn hơn.",northern,,vidia2std,train,10327
Đi họp phụ huynh hay sao ý nhờ?,Đi họp phụ huynh hay sao ý nhỉ?,northern,,vidia2std,train,10328
cú ni hỏng chân luôn. Uổng cho cô gái ấy. Hồi nớ mà gặp mi sớm hơn là êm rồi.,Lần này hư chân luôn. Uổng cho cô gái ấy. Hồi đấy mà gặp mày sớm hơn là êm rồi.,central,,vidia2std,train,10329
Giời ạ. Đã khó còn khổ thêm.,Trời ạ. Đã khó còn khổ thêm.,northern,,vidia2std,train,10330
Trời nắng nóng mà được ly bình bát dâm đa đường ăn là ghiền luôn.,Trời nắng nóng mà được một ly bình bát dâm đa đường ăn là nghiền luôn.,southern,,vidia2std,train,10331
Có vài đứa như 50 tuổi cố trang điểm để lấy tí mầu.,Có vài đứa như 50 tuổi cố trang điểm để lấy tí màu.,northern,,vidia2std,train,10332
chỗ bùng binh chạy vô á chị.,chỗ vòng xoay chạy vào đấy chị.,southern,,vidia2std,train,10333
mai mốt sắm đứa cọng đeo cổ.,hôm nào sắm mỗi đứa một cọng đeo cổ.,southern,,vidia2std,train,10334
"Hông nha, trời tối lo phóng xe dìa nhà chứ mẹ gọi cháy máy, có đâu mà dạo.","Không nhé, trời tối lo phóng xe về nhà chứ mẹ gọi cháy máy, có đâu mà dạo.",southern,,vidia2std,train,10335
Gấy Hà Tĩnh sọi hầy?,Gái Hà Tĩnh xinh nhỉ?,central,,vidia2std,train,10336
Răng mà nghĩ chi lạ lùng rứa hè? Làm chi có cái chi kiếm tiền mà dễ dàng mô.,Sao mà nghĩ gì lạ lùng vậy nhỉ. Làm gì có cái gì kiếm tiền mà dễ dàng đâu,central,,vidia2std,train,10337
"chộ cái bàn nghi nghi, giờ nớ quán đóng cửa chưa?","thấy cái bàn nghi nghi, giờ quán đó nó đóng cửa chưa",central,,vidia2std,train,10338
ở mình chưa cao đến ri mô.,ở mình chưa cao đến thế này đâu,central,,vidia2std,train,10339
"Hà Tĩnh gạo trắng nác troong, ênh về Hà Tĩnh thoong doong con ngài.","Hà Tĩnh gạo trắng nước trong, anh về Hà Tĩnh thong dong con người.",central,,vidia2std,train,10340
Hiệp một thua một trấy tui đi nhậu.,Hiệp một thua một trái tôi đi nhậu.,central,,vidia2std,train,10341
hỏi ổng nhớ đường chưa! Đừng có về Đồng Tháp nữa nghe!,hỏi ông ấy nhớ đường chưa! Đừng có về Đồng Tháp nữa nhé!,southern,,vidia2std,train,10342
"Cha tổ cấy bọn ni, đề nghị công an bắt nhốt hết chơ ban đêm hấn rú ga chạy như ma cụt trốc, tay cầm sẫn chai bia thấy ai ngứa mắt là hấn ném","Cha tổ cái bọn này, đề nghị công an bắt nhốt hết chứ ban đêm nó rú ga chạy như ma cụt đầu, tay cầm sẫn chai bia thấy ai ngứa mắt là nó ném",central,,vidia2std,train,10343
"ngồi xe đứa mô nói ốc Trường Chinh, mi hãy nhớ giây phút câu nói kia phụt ra.","ngồi xe đứa nào nói ốc Trường Chinh, mày hãy nhớ giây phút câu nói kia phát ra.",central,,vidia2std,train,10344
Răng rụng mà tay vẫn nhắn tin ngon rứa bây.,Răng rụng mà tay vẫn nhắn tin ngon vậy chúng mày.,central,,vidia2std,train,10345
Chộ hắn là chộ chí đó.,Thấy nó là thấy con chấy đấy.,central,,vidia2std,train,10346
Này em hông biết nên hỏi thiệt ạ,Cái này em không biết nên hỏi thật ạ,southern,,vidia2std,train,10347
Chỗ mô lạ ri?,Chỗ nào lạ thế?,central,,vidia2std,train,10348
phái nhất luc đi cổ động như này nè.,thích nhất lúc đi cổ động như này này.,southern,,vidia2std,train,10349
"mai mốt công an bắt, em gọi được hông ạ","sau này công an bắt, em gọi được không ạ",southern,,vidia2std,train,10350
dừ chỉ có cày thôi không ăn chơi chi cả.,Giờ chỉ có cày thôi không ăn chơi gì cả.,central,,vidia2std,train,10351
dù trời có mưa vẫn bất chấp chớ,dù trời có mưa vẫn bất chấp chứ,southern,,vidia2std,train,10352
"Trước đang ngồi ăn chè gặp chú kia chuẩn bị chạy đi nhưng quên gạt tó, tui kêu chú ơi tó kìa, ảnh xuống ảnh nhìn quài cả buổi xong ảnh hỏi cái gì,mình kêu quên gạt tó kìa","Lúc trước đang ngồi ăn chè gặp chú kia chuẩn bị lái đi nhưng quên gạt chống xe, tôi kêu chú ơi chống xe kìa, anh ấy xuống anh ấy nhìn mãi cả buổi xong anh ấy hỏi cái gì, mình nói quên gạt chống xe kìa",southern,,vidia2std,train,10353
cho miếng mô không mà bổ sẻ mồ?,Cho miếng nào không mà bổ sẻ?,central,,vidia2std,train,10354
Hổm rày tính hẹn bồ đi mà giờ chia tay quyết định mai đi minh luôn.,Hôm trước giờ đinh hẹn người yêu đi mà giờ chia tay quyết định mai đi một mình luôn.,southern,,vidia2std,train,10355
Thì chừ đang đạp đó tê tuổi thơ chi hè?,Thì giờ đang đạp đấy tuổi thơ gì nhỉ?,central,,vidia2std,train,10356
Admin đăng ri mấy người đi Đài họ report trang dừ.,Admin đăng thế này mấy người đi Đài họ report trang giờ.,central,,vidia2std,train,10357
quê choa răng cứ phải phông bạt ngoại hề?,Quê tôi sao cứ phải phông bạt ngoại nhỉ?,central,,vidia2std,train,10358
chúng mình lại hẹn hò nhể?,chúng mình lại hẹn hò nhỉ?,northern,,vidia2std,train,10359
khi mô đi rủ với tề.,Khi nào đi rủ với kìa,central,,vidia2std,train,10360
Ỳ mắc đi cun gấy Hà Tịnh không chịu khó đảm đang à?,Mắc gì nói con gái Hà Tĩnh không chịu khó đảm đang à,central,,vidia2std,train,10361
"Cuối cùng tiền nhiều để làm chi, nhà lầu xe hơi để làm chi?","Cuối cùng tiền nhiều để làm gì, nhà lầu xe hơi để làm gì?",central,,vidia2std,train,10362
Thời điểm mô đây rứa hè?,Thời điểm nào đây thế nhỉ?,central,,vidia2std,train,10363
"Trời, nước to vậy chị gái nhờ.","Trời, nước to vậy chị gái nhỉ.",northern,,vidia2std,train,10364
Tag mình vô mần chi. Cốt mấy ả con gấy thôi.,Tag mình vào làm gì. Chủ yếu mấy cô con gái thôi.,central,,vidia2std,train,10365
"tham thì thâm, một khi đầu tư chứng khoán nớ thì su đàng.","Tham thì thâm, một khi đầu tư chứng khoán đó thì kiểu gì cũng thua thôi.",central,,vidia2std,train,10366
Đưa đây tui chở đi cho . Rồi trả công cho tui chớ ước chi hè,Đưa đây tôi chở đi cho. Rồi trả công cho tôi chứ ước làm gì nhé,central,,vidia2std,train,10367
Và anh ấy đáp điện thoại lên nóc nhà.,Và anh ấy ném điện thoại lên nóc nhà.,northern,,vidia2std,train,10368
"Chị chuẩn bị đi cưới chi nựa, em còn không được mời.","Chị chuẩn bị đi cưới gì nữa, em còn không được mời.",central,,vidia2std,train,10369
Lo lấy gấy i. Ế đó rồi răng nói nựa.,Lo lấy vợ đi. Ấy đó rồi mà cứ hay nói.,central,,vidia2std,train,10370
"đang có cái này nè, qua chơi hông?","đang có cái này này, qua chơi nhé.",southern,,vidia2std,train,10371
Úi giời! Đi tắm sông mà được cây chuối ôm bơi thì sướng phải nói!,Úi trời! Đi tắm sông mà được cây chuối ôm bơi thì sướng phải nói!,northern,,vidia2std,train,10372
Nhạc chi chạy trong trốc khi chộ ảnh ni bay?,Nhạc gì chạy trong đầu khi thấy ảnh này chúng mày?,central,,vidia2std,train,10373
"""Gia Hưng nhà tao chắc chơi không bỏ sót trò mô hè?""",Gia Hưng nhà tao chắc chơi không bỏ sót trò nào nhỉ?,central,,vidia2std,train,10374
bữa ni bida cũng có múa nhảy đồ mà!,Hôm nay bida cũng có múa nhảy đồ mà!,central,,vidia2std,train,10375
Mai mốt nó xin phụ huynh góp tiền cho nó mua xe hơi xã hội hóa nữa đó.,Hôm nào nó xin phụ huynh góp tiền cho nó mua xe hơi xã hội hóa nữa đấy.,southern,,vidia2std,train,10376
"mi thôi chơ, tao tháng mô tao không đi.",mày thôi chứ tao tháng nào tao không đi.,central,,vidia2std,train,10377
Cù lẹ chưa chộ bây ả.,Có lẽ chưa thấy chúng mày ạ.,central,,vidia2std,train,10378
"em đây mà bồ bản là chổ mô em hè, chị nhìn không ra em?","Em đây mà bồ bản là nơi nào em nhỉ, chị nhìn không ra em?",central,,vidia2std,train,10379
Đau rọt với bây được tê.,Đau ruột với chúng mày được đấy.,central,,vidia2std,train,10380
Cửa Lò nói chi hết nựa.,Cửa Lò nói gì hết nữa.,central,,vidia2std,train,10381
Này phải dìa Hậu Giang ăn mới ngon chứ.,Món này phải về Hậu Giang ăn mới ngon chứ.,southern,,vidia2std,train,10382
"Ăn cái gì bổ cái đó, mai mốt đi không nổi","Ăn cái gì bổ cái đấy, sau này đi không nổi",southern,,vidia2std,train,10383
Đặc sản mô nỏ biết chơ nhìn gớm.,Đặc sản ở đâu không biết chứ nhìn thấy ghê.,central,,vidia2std,train,10384
Lương Thành Thái mi nuôi con đi để mạ tau lo.,Lương Thành Thái mày nuôi con đi để mẹ tao lo.,central,,vidia2std,train,10385
"xuống mấy lần chỉ cho ngó, có cho cầm về mô nà?","xuống mấy lần chỉ cho nhìn, có cho cầm về đâu này.",central,,vidia2std,train,10386
sáng vô o chơi tí rồi chiều về cho kịp cơm túi.,sáng vào cô chơi tí rồi chiều về cho kịp cơm tối,central,,vidia2std,train,10387
Dìa nhà nghỉ hay dìa nhà nghỉ vậy anh?,Về nhà nghỉ hay về nhà nghỉ vậy anh.,southern,,vidia2std,train,10388
Nhà tui cỏ ló nhiều quá. Rảnh bác qua phun cho cấy. Mấy một trào rứa?,Nhà tôi cỏ mọc lên nhiều quá. Rảnh bác qua phun cho cái. Một lần phun bao nhiêu tiền?,central,,vidia2std,train,10389
"""Lấy mần chi rứa nả, nhục 10 đời.""","Lấy làm gì vậy nhỉ, nhục 10 đời.",central,,vidia2std,train,10390
Mi cứ nói anh rứa! Nay làm mô đó?,Em cứ nói anh thế! Nay làm ở đấy?,central,,vidia2std,train,10391
Không ấy thì cho cháu về đi con! Mần tau thêm nhọc với đau trốc hơn,Không ấy thì cho cháu về đi con! Làm tao thêm mệt với đau đầu hơn,central,,vidia2std,train,10392
"Nước thích hị, để ri mà bơi quanh năm cụng được.","Nước thích nhỉ, để như này mà bơi quanh năm cũng được.",central,,vidia2std,train,10393
Biết chứ lị.,Biết chứ.,northern,,vidia2std,train,10394
"Đi chợ túi rứa, răng dừ mới đi, cả ngày mần chi mà không đi, túi đen rồi mới đi, có chi nựa mà mua.","Đi chợ tối vậy, sao bây giờ mới đi, cả ngày làm gì mà không đi, tối đen rồi mới đi, có gì nữa mà mua.",central,,vidia2std,train,10395
"Đứa mô rảnh cầu hôn tau cấy. Tau Đà Nẵng, tuổi chưa biết luôn. Toàn uống say bị lừa.","Ai đó rảnh thì cầu hôn tao cái. Tao là người Đà Nẵng, tuổi chưa biết luôn. Toàn uống say rồi bị lừa.",central,,vidia2std,train,10396
Phương chi lạ rứa. Chứ tui khung rứa mô.,Phương gì lạ vậy. Chứ tôi không có như vậy đâu.,central,,vidia2std,train,10397
Mày lấy xe lai tao đi chợ,Mày lấy xe chở tao đi chợ,northern,,vidia2std,train,10398
ai biểu nhắc chi dẫy?,ai bảo nhắc làm gì vậy?,central,,vidia2std,train,10399
"Trúng 2 tỉ 4 thì bịt khẩu trang mần chi, hại bị cướp à hay hại covid.","Trúng 2 tỉ 4 thì đeo khẩu trang làm gì, sợ bị cướp à hay sợ covid",central,,vidia2std,train,10400
"Xe đạp điện mô chộ mấy, mà chạy chậm lắm, giờ chủ yếu xe máy điện.","Xe đạp điện đâu thấy mấy, mà chạy chậm lắm, giờ chủ yếu xe máy điện.",central,,vidia2std,train,10401
"Rắn ni buổi ngày còn đợ, buổi đêm chộ cấy ê hết hồn, in thiệt rứa mà,","Rắn này buổi ngày còn đỡ, buổi đêm thấy cái hết hồn, y như thật vậy mà",central,,vidia2std,train,10402
cột tháp bão cao tới 30 mét lận,cột tháp bão cao tới tận 30 mét cơ,southern,,vidia2std,train,10403
Con rắn chi mà nhìn thấy sợ hè?,Con rắn gì mà nhìn thấy sợ nhỉ,central,,vidia2std,train,10404
