dialect,standard,region
ô nhiễm không khí chứ mây gì như này nhể?,ô nhiễm không khí chứ mây gì như này nhỉ?,northern
Chơ dừ ai lấy mô em.,Chứ giờ ai lấy đâu em.,central
giống dãy anh Hùa ri hè?,giống anh Hùa thế nhỉ,central
"Sắp lịch đi, tui khi mô cũng được. Xuống gặp mấy đứa ở Vinh cái.","Sắp lịch đi, tôi khi nào cũng được. Xuống gặp mấy bạn ở Vinh ấy.",central
"Hắn nhập đi nhập lại cho si rồi, bình yên mô nựa.","Nó nhập đi nhập lại cho Si rồi, bình yên ở đâu nữa",central
cầm ly hông ai giựt được.,cầm ly không ai giật được.,southern
chỗ ni là khó thoát nước hay hôm qua mưa to hè?,Chỗ này là khó thoát nước hay hôm qua mưa to nhỉ?,central
quỷ sứ rứa bữa ni là hay đái đường tàu cho tàu trạch lốp đúng không?,Quỷ sứ vậy hôm nay là hay đái đường tàu cho tàu trạch lốp đúng không?,central
Biển Quy Nhơn nay khác dẫy chèn,Biển Quy Nhơn nay khác vậy trời,southern
Chú thấy tô răng nạc nạc rứa.,Chú thấy tôi sao vậy,central
"""Nhìn tuổi tác là hiểu chú à, rứa khi mô mới lấy vợ?""","Nhìn tuổi tác là hiểu chú à, vậy khi nào mới lấy vợ?",central
Rừng ni ở mô đó bạn?,Rừng này ở đâu đó bạn?,central
eo ơi o cháu mình thì giỏi vụ ni ha?,eo ơi cô cháu mình thì giỏi vụ này nhỉ?,central
Mai mốt miền trung bão lũ miền Bắc giúp lại.,Sau này miền trung bão lũ miền Bắc giúp lại.,southern
đi đồng hới mần một bựa đi mi,đi đồng hới làm một bữa đi mày,central
"thiệt chớ đang mướn nhà trọ, mua vé số nào trúng mua đất.","thật chứ đang thuê nhà trọ, mua vé số khi nào trúng mua đất.",southern
Chùa mô rứa mọi người?,Chùa nào vậy mọi người?,central
Để hôm nào tui kiếm ảnh ta 3 mặt một nhời.,Để hôm nào tôi tìm anh ấy ta 3 mặt một lời.,northern
Lễ mà đi ra đường mần chi không biết.,Lễ mà ra đường làm gì không biết.,central
rứa để tau đem ném về cho mà nấu chơ ai biết nấu ăn mô?,vậy để tao đem về cho mà nấu chứ ai biết nấu ăn đâu?,central
Đi xa về quê ăn chi chi cũng ngon.,Đi xa về quê ăn gì cũng ngon.,central
lâu quá không dìa Cà Mau nên hơi tối cổ xíu,lâu quá không về Cà Mau nên hơi tối cổ chút,southern
Thật hậy. Ăn có béo mô mà cứ ăn chi cho tốn hẹ.,Thật nhỉ. Ăn có béo đâu mà cứ ăn làm gì cho tốn nhỉ.,central
chuẩn bị được về ruộng với bọ mạ rồi.,chuẩn bị được về ruộng với bố mẹ rồi,central
khi mô đi Quảng Bình thì ghé o chơi chút hư?,khi nào đi Quảng Bình thì ghé cô chơi chút chứ,central
"Mất công quay, quay rõ tí chứ lị.","Mất công quay, quay rõ tí chứ.",northern
Không nè. Ni là ở vinh á. Chỗ đường đi xuống Cửa Lò á tề.,Không nha. Này là ở Vinh á. Chỗ đường đi xuống Cửa Lò á kìa.,central
"thèm nhề. Tý mình ra chợ kiếm cho mấy quả cóc, quả me.","thèm nhỉ. Tý mình ra chợ kiếm cho mấy quả cóc, quả me.",northern
Lưu vào để nao mời tui đi.,Lưu vào để hôm nào mời tôi đi.,northern
tối ni mời mấy chai hè.,Tối này mời mấy chai nhé.,central
"Đúng em hầy, Trang ni toàn đăng cấy rờ rờ.",Đúng em nhỉ. Trang này toàn đăng cái tào lao.,central
"không đi là phí nhen, chơi vui mà còn có quà mang dìa nè","không đi là phí nhé, chơi vui mà còn có quà mang về đây này",southern
Lút đến mô rồi để biết đàng quay xe.,Lụt đến đâu rồi để biết đường quay xe.,central
Chả biết thằng ni là thằng mô.,Chẳng biết thằng này là thằng nào.,central
Dừ muộn rồi đừng đoán nựa mà lợ hấn trúng cụng không can chi mô.,Giờ muộn rồi đừng đoán nữa mà lỡ nó trúng cũng không bị gì đâu.,central
Răng ơn trời rứa hè?,Sao ơn trời vậy nhỉ,central
sao chị nỡ bỏ qua những món ngon ni mà cho bé ăn cơm cháy vậy hè?,sao chị nỡ bỏ qua những món ngon này mà cho bé ăn cơm cháy vậy nhỉ?,central
Thấy phát tự nhiên bạn đằng ni yêu bạn đằng nó luôn rồi đó.,Thấy một phát tự nhiên bạn đằng này yêu bạn đằng nó luôn rồi đấy.,central
"Ơ kìa, lên đồ sẵn rồi mãi chả thấy sang đón, nói lèo chưa chứ lị?","Ơ kìa, lên đồ sẵn rồi mãi chẳng thấy sang đón nói lèo chưa cơ chứ?",northern
"ri bơ, cả team rồi mô nữa.","Thì sao, cả team đây rồi chứ đâu nữa",central
"Năm sau dìa, hông có bồ nên hông dìa được","Năm sau về, không có người yêu nên không về được",southern
Ở trong nớ nỏ có đi bão luôn á?,Ở trong đó không có đi bão luôn á?,central
"chỗ ni gọi là đèn đen, chơ xanh đỏ chi? Dì hi?",chỗ này gọi là đèn đen chứ xanh đỏ gì Dì nhỉ?,central
Sơn La mình dạo này sao lắm tai nạn thế nhờ?,Sơn La mình dạo này sao lắm tai nạn thế nhỉ?,northern
Dầm đá với đường ngon nhức nách.,Dầm đá với đường ngon tuyệt vời.,southern
Ừ tôi cũng đang nhìn con nớ đó.,Ừ tôi cũng đang nhìn con đấy đấy.,central
"""Giờ mần rể cũng chưa muộn mô bạn ạ.""",Giờ làm rể cũng chưa muộn đâu bạn ạ.,central
Nhờ nước nớ mà gái Quảng Bình trắng hung!,Nhờ nước đó mà gái Quảng Bình trắng lắm!,central
bùng binh này lúc nó mới làm chưa trang trí đó chị,vòng xoay này lúc nó mới làm chưa trang trí đấy chị,southern
"Tài thật, đàng bằng mà bổ luôn.","Giỏi thật, đường bằng mà ngã luôn.",central
"luyện tâp thể thao cho có sức khỏe túi, còn bò ngoài sân bê tông bò chơ","luyện tập thể thao cho có sức khỏe, tối còn bò ngoài sân bê tông chứ",central
Chỗ mô Hà Tĩnh mà đẹp mê ri hè?,Chỗ nào Hà Tĩnh mà đẹp mê như vầy nhỉ?,central
Cọ lẹ hát lắm tề khát nác rồi đọ.,Có lẽ hát lắm nên khát nước rồi đó.,central
chị tui bả thích cái lon cỡ này lắm nè.,chị tôi bà ấy thích cái lon cỡ này lắm đây này.,southern
"""Mà răng lại phụ thu 10 ngàn thì quán khung nói à? Hóng câu trả lời của quán hôm qua chừ.""",Mà sao lại phụ thu 10 ngàn thì quán không nói à? Hóng câu trả lời của quán hôm qua giờ.,central
Phúc Long ni lên cân hơn Phúc Long nớ kk.,Phúc Long này lên cân bằng hơn Phúc Long đó,central
Vô trỏng lấy dùm tui cái gờ mên nhen,Vào trong đấy lấy dùm tôi cái gờ mên nhé,southern
"Chà, bình luận ri biết văn minh như răng rồi. Chưa ai nói gì mà đã xù lông lên chửi.","Chà, bình luận như thế này là biết văn mình như thế nào rồi. Chưa ai nói gì mà đã xù lông lên chửi.",central
"Lại nữa mày gọi về nói bố mẹ cẩn thận, bố mẹ thì cứ chà .","Can chi mô con""",central
Lên đây mà nói tiền của bố mẹ có lẹ hấn chửi trên trốc.,Lên đây mà nói tiền của bố mẹ có lẽ nó chửi trên đầu.,central
đi coi phim xong dìa được hông. Dạo này buồn quá,đi xem phim xong về được không. Dạo này buồn quá,southern
Xưa cũng có lần đào cả cây về trồng đó chớ. Mấy năm gần đây người ta lại khoái chơi cơn này.,Xưa cũng có lần đào cả cây về trồng đấy chứ. Mấy năm gần đây người ta lại khoái chơi cây này.,central
Ở chỗ mô Quảng Trị ri hè?,Ở chỗ nào Quảng Trị thế nhỉ,central
có chi khó hơn nựa không?,có gì khó hơn nữa không,central
"bên Hải Sơn á, nghe mô ở Hà Lỗ chơ tao không biết.","bên Hải Sơn ấy, nghe đâu ở Hà Lỗ chứ tôi không biết.",central
Chỗ nào đông vui . Sau mai mốt cũng thành bãi rác chừ,Chỗ nào đông vui . Sau này cũng thành bãi rác bây giờ,central
"Giàu rồi, chơi chi ba ni.","Giàu rồi, chơi gì ba cái này.",central
"Dìa chế, nẫu dìa hết rầu.","Về chị ơi, người ta về hết rồi.",southern
"khách đi xe buýt gần nhà, mệ ni nói tức con dâu, không nói được dâu nhảy đó","khách đi xe buýt gần nhà, mẹ này tức con dâu, không nói được dâu nên đi nhảy cầu đấy",central
"Ý là có lộn hông dậy, đẹp đó hả ?","Ý là có nhầm không vậy, đẹp đấy hả!",southern
Lộ ni lộ mô?,Chỗ này là chỗ nào?,central
"Khi xưa tôi còn nhỏ, thầy bu cứ giao cho đi đựng dạ. Tôi đựng quá đỉnh luôn.","Khi xưa tôi còn nhỏ, bố mẹ cứ giao cho đi đựng dạ. Tôi đựng quá đỉnh luôn.",northern
"Mặc quần đùi cỏ may hấn đâm cho, có mà ngá chết","Mặc quần đùi cỏ may nó đâm cho, có mà ngứa chết",central
Xưa đi bứt cỏ toàn con bạn bứt giùm.,Xưa đi bứt cỏ toàn con bạn bứt giúp,central
"Nghe mà mắc cỡ dùm, hông biết nói sao!","Nghe mà xấu hổ cho, không biết nói sao!",southern
"Liệu hồn, ăn rồi tóc vàng tóc đỏ chi hung","Liệu hồn, ăn rồi toàn tóc vàng tóc đỏ gì không",central
"chị rủ đi. Em sợ ổng quánh quá, rủ đi có đôi có cặp cho vui!","chị rủ đi. Em sợ ông ấy đánh quá, rủ đi có đôi có cặp cho vui!",southern
Team sợ rắn chộ ri là sợ.,Team sợ rắn thấy thế này là sợ.,central
Ả vẫn nhận ra em à ả?,Chị vẫn nhận ra em à chị?,central
Đi ship bằng cấy ni nầy bác ơi.,Đi ship bằng cái này này bác ơi.,central
o mô Điện Biên mà sút ác rứa anh?,chị nào bên Điện Biên mà sút ác vậy anh,central
chậm chậm mà hốt cú chốt như ri cho tao nở mày mặt được làm bạn cô dâu coi,chậm chậm mà hốt phát cú như này cho tao nở mày mặt được làm bạn cô dâu nào,southern
Bày kiểu chi rứa trời.,Bày kiểu gì vậy trời.,central
"hèn chi thấy cái hàng rào quen quen, bị chi nặng không em?","hèn gì thấy cái hàng rào quen quen, bị gì nặng không em?",central
răng không lái xe bịt bùng qua chở bọn hắn đi cú.,sao không lái chiếc xe bịt bùng qua chở bọn nó đi một cái.,central
Sao nãy đi hông thấy ta,Sao lúc nãy đi không thấy nhỉ,southern
trời mưa ni ước chi có ai chở đi bằng ô tô thím hè?,trời mưa này ước gì có ai chở đi bằng ô tô thím nhỉ,central
May ả chơ khôn phải một anh hi.,May là chị chứ không phải một anh nhỉ.,central
lá khóm không phải cây nầy.,lá dứa không phải cây này.,southern
Chi mà lắm bạo rứa.,Gì mà lắm bão vậy,central
nghe câu đó quá quen thuộc rầu nghen con,nghe câu đó quá quen thuộc rồi nhé con,southern
"Ai nhanh tay rứa biết, nhặt hết xoài rụng rồi","Ai nhanh tay vậy không biết, nhặt hết xoài rụng rồi",central
Ok rứa thôi chí hắn năm nựa chưa đi mô chị.,Ok vậy thôi chứ nó năm nữa chưa đi đâu chị.,central
Tại đi hông biết chừng nào dìa nữa.,Tại đi không biết chừng nào về nữa.,southern
tấu nay thử coi ai cao hơn ai nhan,tối nay thử xem ai cao hơn ai nhé,southern
khéo ba mạ tau lo đem tiền vô đóng tiền viện phí mất.,có khi bố mẹ tao lo đem tiền vào đóng viện phí mất.,central
coi mốt đẻ con cái miệng giống nó chết luôn,cẩn thận sau này sinh con cái miệng giống nó là hết luôn,southern
Khi mô cũng sèm món ni.,Khi nào cũng thèm món này.,central
được cấy nói rứa thì đúng chơ tán gấy thì trật.,Được cái nói vậy thì đúng chứ tán gái thì trật.,central
Thú chứ người mô nựa bạn hẹ?,Thú chứ người đâu nữa bạn nhỉ.,central
"Admin đăng những bài ni mới đúng, dân ta phải như ri.","Admin đăng những bài này mới đúng, dân ta phải như thế này.",central
"Đợi bạn bè đồ theo với chớ, nghỉ chắc rứa mi","Đợi bạn bè này kia theo với chứ, nghỉ một mình vậy mày",central
chỗ ni không có đồi cao mô.,Chỗ này không có đồi cao đâu.,central
Rứa bằng tuổi với chắc thì gọi tau mi e là thân thiện hơn nhỉ,Vậy bằng tuổi với nhau thì gọi tao mày e là thân thiện hơn nhỉ,central
"ngon, mần cho cấy ga chỗ Vũng Áng nữa ti đự.","ngon, làm cho cái ga chỗ Vũng Áng nữa thì được",central
Răng ta không chộ lộ ni hầy?,Sao mình không thấy chỗ này nhỉ?,central
Tác hại của bia rượu là rứa đó.,Tác hại của rượu bia là vậy đó.,central
Tao nhớ mô phải đoạn ni.,Tôi nhớ đâu phải đoạn này.,central
"Cảnh xa quê, nhìn mà chảy nác méng","Cảnh xa quê, nhìn mà chảy nước miếng",central
Chỗ mô ra ri?,Chỗ nào thế này?,central
Để tới mai thì hại nỏ lưa cấy chi nựa,Để tới mai thì sợ không còn cái gì nữa.,central
Cái bót đánh răng nữa,Cái bàn chải đánh răng nữa,southern
Ha ha mệ của tui áo vàng xách cái túi rau kìa.,Haha mẹ của tôi áo vàng xách cái túi rau kìa.,central
2 đường nhỏ cặp cầu sắt chỉ được chạy một chiều. Mọi người lưu ý nhen,2 đường nhỏ kế bên cầu sắt chỉ được chạy một chiều. Mọi người lưu ý nhé,southern
"mấy ngày mấy đêm chơ chộ ri thì đoạ hè, hóng quái!","mấy ngày mấy đêm chứ thấy thế này thì mệt nhỉ, hóng quá!",central
Nhìn ngon chi chi!,Nhìn ngon quá!,central
"Cái này mà tao chơi, chắc lấy chỉ vàng thiệt","Cái này mà tao chơi, chắc lấy một chỉ vàng thật",southern
Bình Dương làm chi có.,Bình Dương làm gì có,central
"Yêu cưới trong thầm lặng đi, rầm rộ ri mần chi cho nhọc.","Yêu và cưới trong thầm lặng đi, rầm rộ thế này để làm gì cho mệt.",central
coi chừng bị hốt đi cách ly. Chỗ tao mấy người đi cách ly hôm nay rồi đó.,cẩn thận bị hốt đi cách ly. Chỗ tao mấy người đi cách ly hôm nay rồi đấy.,southern
Bựa ni đi được chấm chưa mà kể gớm rứa.,Bữa nay đi được chấm chưa mà kể ghê thế.,central
đòi mà có đi mô mô?,đòi mà có đi đâu,central
"Loại ni anh bơi phối hợp luôn, chơ chèo chi nựa.",Loại này anh bơi phối hợp luôn chứ chèo gì nữa.,central
Răng kì phụ đề bui rứa eng?,Sao cái phụ đề vui vậy anh?,central
một thời oanh liệt đó nghe,một thời oanh liệt đấy nhé,southern
"thiệt, mô dệ lừa rứa hi?","thật, đâu mà dễ lừa vậy nhỉ?",central
Hổm chụp hình mình nhiều lắm mà hông đăng vậy bạn ơi!,Hôm trước chụp ảnh mình nhiều lắm mà không đăng vậy bạn ơi!,southern
"Không trách chi, chộ mô có đèn giao thông là chộ nớ có cam. Hại thật.","Không trách gì, chỗ nào có đèn giao thông là chỗ đó có cam. Sợ thật.",central
coi kỹ địa chỉ ở đâu nha chời,xem kỹ địa chỉ ở đâu nhé trời,southern
Cầu Phao như này thì thuyền chạy trên sông di chuyển kiểu gì nhở?,Cầu Phao như này thì thuyền chạy trên sông di chuyển kiểu gì nhỉ?,northern
vay tiền kiểu chi mà họ nói nhờ anh dữ rứa?,vay tiền kiểu gì mà họ nói nhờ anh dữ vậy,central
Mấy eng ni xui thiệt là xui.,Mấy anh này xui thiệt là xui,central
mới đầu tau tưởng chú mi tề.,mới đầu tao tưởng chú mày ấy.,central
mi với hắn cại chắc tiếp đi,mày với nó cãi nhau tiếp đi,central
"Để nhờ Huy Quần Hoa tân trang cho chú rể cấy nựa thì 9,9 điểm.","Để nhờ Huy Quần Hoa tân trang cho chú rể cái nữa thì 9,9 điểm.",central
"Ri mà, không ngon nựa, thì thôi.",Như vầy mà không ngon nữa thì thôi.,central
được cấy chộ mô kéo xe là có phần.,Được cái thấy đâu kéo xe là có phần.,central
Chuẩn bị xách bao to về chi nựa.,Chuẩn bị xách bao to về chứ gì nữa.,central
"má hổng kêu đầu, dìa là tao với mày cũng được coi rồi","má không gọi đầu, về là tao với mày cũng được xem rồi",southern
được đấy nhờ. Cuối tuần nhá.,được đấy nhỉ. Cuối tuần nhá.,northern
Mới có bổ nghiêng chơ đạ bổ nằm mô bạn.,Mới có ngã nghiêng chứ đã ngã nằm đâu bạn.,central
mai mốt gặp nhớ nói tiếng anh nha mày,hôm nào gặp nhớ nói tiếng anh nhé mày,southern
"Chớ, quảng cáo thì rứa, mà vô, thì có tặng mô.",Chứ quảng cáo thì vậy mà vô thì đâu có tặng đâu,central
"chắc rứa, hèn chi trốn đi Lào","chắc vậy, hèn gì trốn đi Lào",central
"Ê, mò mại mà không chộ thông tin chi cả.","Ê, tìm mãi mà không thấy thông tin gì cả.",central
Địa chỉ ở mô ri ạ?,Địa chỉ ở đâu thế ạ?,central
Chỗ mô ri bạn hè?,Chỗ nào đây bạn nhỉ?,central
"Ôi, lụt mà đẹp chi chi!","Ôi, lụt mà đẹp gì đâu!",central
"anh đó còn bé lắm, chưa rớ được","anh đấy còn bé lắm, chưa sờ đến được",southern
Thuê vòi bơm tuyết ni ở mô ra đây bạn.,Thuê vòi bơm tuyết này ở đâu vậy bạn.,central
"""Làm ăn uy tín ri còn nhiều đơn nữa tề.""",Làm ăn uy tín như này còn nhiều đơn nữa kìa.,central
tiền ít thì ngang thịt thúi chơ làm chi có thịt thơm.,tiền ít thì ngang thịt thúi chứ làm gì có thịt thơm,central
"làm to hè, khi mô vô chơi đi","làm to nhỉ, khi nào vô chơi đi",central
"Kỉ niệm ùa về hè, thời nớ không lo nghĩ chi hết.","Kỉ niệm ùa về hè, thời đó không lo nghĩ gì hết",central
"đem gái Nhật về làng cho đi nhổ sắn, làm rọng","mang gái Nhật về làng cho đi nhổ sắn, làm ruộng",central
"Sắp rồi anh, náng mực dần đi nha","Sắp rồi anh, nướng mực dần đi nhé",central
"Cần Thơ, Long Xuyên đâu cũng có. Ở Rạch Giá, đường 30/4 bán nhóc.","Cần Thơ, Long Xuyên đâu cũng có. Ở Rạch Giá, đường 30/4 bán đầy.",southern
"Liên lạc thử moi giới bên Campuchia đồ, coi thử có bển hông","Liên lạc thử môi giới bên Campuchia này kia, xem thử có bên đấy không",southern
"""Gần ri thì mụ mẹ chồng mà tức con du thì cũng không dám ho he một câu.""",Gần như này thì mẹ chồng mà tức con dâu thì cũng không dám nói một câu.,central
Thì hấn chụp cho mi coi có chi là bất ngờ.,Thì nó chụp cho mày coi có gì là bất ngờ.,central
tối ni vòng lên xem hè?,tối nay chạy vòng lên xem nhé,central
bạn Trang ni đăng bài mô cũng có câu “1 thoáng hết”.,"bạn Trang nay đăng bài nào cũng có câu ""một thoáng hết""",central
"Vậy thì xuống đó mà ở. Có cua hoàng đế, bia heineken gọi choa xuống nhậu, choa đã xuống chưa?","Vậy thì xuống đấy mà ở. Có cua hoàng đế, bia Heineken gọi chúng tôi xuống nhậu, chúng tôi đã xuống chưa?",central
gần tết làm chuyến nữa nhể?,gần tết làm chuyến nữa nhỉ?,northern
Vụ ni ngó mệt hè?,Vụ này nhìn mệt nhỉ?,central
con ni thua mỗi vợ anh Nguyên thôi anh.,con này thua mỗi vợ anh Nguyên thôi anh,central
chỗ nào mắc cười chỉ mình với mình cười cho vui với.,chỗ nào buồn cười chỉ mình với mình cười cho vui vớ.,southern
Tau khiếp đến tra,Tao khiếp đến già,central
Đi tuốt đằng đẳng rồi quành lại con lươn,Đi tới tận đằng kia rồi quay lại dải phân phân cách,southern
Ở nhà là kéo chắc đi rồi,Ở nhà là kéo nhau đi rồi,central
"Ối giời ơi, mưa gió đi đâu thế này các bạn?","Ối trời ơi, mưa gió đi đâu thế này các bạn?",northern
Bùng binh cầu Đakla hay bùng binh Duy Tân?,Vòng xoay cầu Đakla hay vòng xoay Duy Tân?,southern
Mưa bão mò ra đường mần chi.,Mưa bão mà đi ra đường làm gì.,central
Rủ chắc đi biển mà lượn vô quán tô tượng gin 2 tiếng,Rủ nhau đi biển mà tấp vào quán tô tượng gần 2 tiếng,central
hát với hò rức đầu quá!,hát với hò nhức đầu quá!,northern
"Lên ga Huế ngồi mần vài liều Hudacilin, rồi về ôm chắc ngủ.","Lên ga Huế ngồi làm vài liều Hudacilin, rồi về ôm nhau ngủ.",central
"""Nỏ có đứa mô đi chung hầy?""",Không có đứa nào đi chung nhỉ.,central
"Trời tì bạo, đá tì dở mà vẫn rủ chắc ra mần màu","Trời thì bão, đá thì dở mà vẫn rủ nhau ra làm màu",central
Hai giờ sáng ba thằng đói bụng rủ chắc đi ăn bún,Hai giờ sáng ba thằng đói bụng rủ nhau đi ăn bún,southern
"Bớt bớt lại cấy, chộ cờ đỏ sao vàng cái là Trung Lê ngó đỡ đỡ.","Bớt bớt lại cái, thấy cờ đỏ sao vàng cái là Trung Lê nhìn đỡ đỡ hơn",central
Nợ chưa trả xong mà Tết dìa rầu,Nợ chưa trả xong mà Tết về rồi,southern
Ở nhà ôm chắc mà ngủ cho sướng,Ở nhà ôm nhau mà ngủ cho sướng,central
Bữa ni đi chơi ngồi nhìn chắc cười thôi nghe,Bữa nay đi chơi ngồi nhìn nhau cười thôi nhé,southern
Vô tình mua áo giống nhau nên rủ chắc mang đi chơi luôn,Vô tình mua áo giống nhau nên rủ nhau mang đi chơi luôn,central
"""Bạo cụng bình thường, đi chơi trung thu à hay răng mà rủ chắc đi cả đoàn rứa?""","Bão cũng bình thường, đi chơi trung thu à hay sao mà rủ nhau đi cả đoàn vậy?",central
Hèn chi cả tháng nay ăn giá thấy ngon miệng ghê.,Thảo nào cả tháng nay ăn giá thấy ngon miệng ghê.,southern
đi mắc mưa xong bịnh dầm dề.,đi mắc mưa xong bệnh dầm dề,southern
Hai mạ con chở chắc vô lấy tiền nì,Hai mẹ con chở nhau vào lấy tiền này,central
Phân biệt rứa là nỏ được mô nả.,Phân biệt như thế là không được đâu.,central
"Ông ni ngày mô, cụng hát thì nước tha hồ mà tràn về.",Ông này ngày nào cũng hát thì nước cứ tràn về mãi.,central
Con em nhờ bán giúp cây bơ cho mệ ngoại ở Hoà Trạch. Cây bơ ni là chuẩn sạch tinh luôn nì.,Con em nhờ bán giúp cây bơ cho bà ngoại ở Hoà Trạch. Cây bơ này là chuẩn sạch tinh luôn này.,central
"Ôi, lũ to thế, ngập hết hoa mầu của dân dân rồi.","Ôi, lũ to thế, ngập hết hoa màu của dân dân rồi.",northern
ảnh dìa Trà Vinh hay gì nè,anh ấy về Trà Vinh hay gì này,southern
Mạ vợ thầy vũ không bà lớn được mô.,Mẹ vợ thầy vũ không bà lớn được đâu.,central
Mi về đây biết tay tau!,Mày về đây biết tay tao!,central
"bữa phản hồi lại cá ngon các kiểu, không chộ cảm ơn chi nơi.","hôm bữa phản hồi lại cá ngon các kiểu, không thấy cảm ơn gì hết",central
sao lại nói thế nhờ?,sao lại nói thế nhỉ?,northern
"Chầu hay nghe Hà Lan, mà chưa chộ in răng cả thì chừ có mô nữa.","Nghe kể về Hà Lan mãi, mà chưa thấy gì rõ ràng thì giờ chắc có đâu nữa",central
"vô sống ảo rồi đi ra thôi, chơ nước không ngon chi hết.","vô sống ảo rồi đi ra thôi, chứ nước không ngon gì hết",central
"mô có mấy con hắn ham ăn lắm, mà không dệ bat được hắn.","đâu có mấy con nó ham ăn lắm, mà không dễ bắt được nó",central
Đięc mần răng mà sợ súng.,Điếc thì làm sao mà sợ súng,central
"Bọn trẻ con nó cười kiểu khặc khặc rất thích, còn người nhớn thì ăn câu cửa miệng.","Bọn trẻ con nó cười kiểu khặc khặc rất thích, còn người lớn thì ăn câu cửa miệng.",northern
Bút có mực nựa không hè?,Bút có mực nữa không nhỉ?,central
Nghe nói chỗ này đổ xăng xe máy miễn phí nè.,Nghe nói chỗ này đổ xăng xe máy miễn phí này.,southern
Trần Bình Trọng giao với Nguyễn Du đoạn mô hè?,Trần Bình Trọng giao với Nguyễn Du đoạn nào nhỉ?,central
Mệt hà! Mà cảnh Quy Nhơn đẹp thiệt!,Mệt nhé! Mà cảnh Quy Nhơn đẹp thật!,southern
em đi qua chỗ mô là chỗ nớ có tai nạn.,em đi qua chỗ nào là chỗ đó có tai nạn,central
Nắng nắng lạnh lạnh ri nỏ ăn uống chi cho phù hợp,Nắng nắng lạnh lạnh thế này không ăn uống gì cho phù hợp,central
thấy ở bển nhìn thiệt hơn bên này á,thấy ở bên đấy nhìn thật hơn bên này đấy,southern
bữa mô đi ăn bữa em hè?,bữa nào đi ăn bữa em nhé,central
Em cũng mong rứa chứ cứ kéo dài ri chắc em ngất xỉu,Em cũng mong vậy chứ cứ kéo dài thế này chắc em ngất xỉu,central
mấy hôm nữa gặp nhau chị nhở?,mấy hôm nữa gặp nhau chị nhỉ?,northern
Gio Linh mấy ngày nay liên tục ri hè?,Gio Linh mấy ngày nay liên tục vậy nhỉ?,central
quan trọng anh thích chi chơ.,Quan trọng anh thích gì chứ.,central
tui thấy giống bùng binh ở cầu Đakla hơn ông à.,tôi thấy giốngvòng xoay ở cầu Đakla hơn ông à.,southern
Làm cái bự bành ki để trước nhà đi.,Làm một cái to khủng khiếp để trước nhà đi.,southern
"Mi đi đi, vợ mi ở nhà tau chự cho.","Mày đi đi, vợ mày ở nhà tao giữ cho.",central
"Ai cũng nghĩ làm răng lừa được tao êm rứa, ba trăm hai mươi bình luận.","Ai cũng nghĩ làm sao lừa được tao êm vậy, ba trăm hai mươi bình luận",central
"Ủa, thế là cô không đi xem phim với bạn, SH 21 giờ 15 phút, nớ nựa à.","Ô, thế là cô không đi xem phim với bạn đi SH 21 giờ 15 phút đó nữa à.",central
"thần tượng tuổi thơ đó, chơ đùa à.","thần tượng tuổi thơ đấy, chứ đùa à.",central
"30 mừng húp mắt. Rứa mình 32 cưới chắc mừng húp mắt, lẫn cảy cả trốc.",30 tuổi mừng khúc sưng mắt. Vậy mình 32 tuổi cưới chắc mừng khóc sưng mắt lẫn sưng cả đầu.,central
"""Gặp miềng là đi tiếp, chơ xeng đỏ chi cũng y nhau thôi.""",Gặp mình là đi tiếp chứ xanh đỏ gì cũng giống nhau thôi.,central
Mai mốt đi ăn ghé chợ mua kí giá rồi hả dô quán ăn,Sau này đi ăn ghé chợ mua một kí giá rồi hẳn vào quán ăn,southern
qủa ni thằng mô cãi dai thằng nớ thắng.,Quả này thằng nào cãi dai thằng đó thắng.,central
Bây giờ cũng ngoài 40 hết rồi xứ nẫu ơi,"Bây giờ cũng ngoài 40 hết rồi xứ Bình Định, Phú Yên ơi",southern
Đàng về dà tau còn chưa biết đây nì.,Đường về nhà tao còn chưa biết đây này.,central
"không thấy được đâu, tại có chút ét, bị người ta che hết rồi.","không thấy được đâu, tại bé tí, bị người ta che hết rồi.",southern
"Cứ về quê là yên tĩnh, thanh bình chơ mô chắc Hà Tĩnh mới có rứa.","Cứ về quê là yên tĩnh, thanh bình chứ đâu chỉ Hà Tĩnh mới có thế này.",central
"""Bữa ni vẫn như cũ chưa chuyển đổi được việc làm nơi.""",Hôm nay vẫn như cũ chưa chuyển đổi được việc làm nơi.,central
"""Mà bạn mần răng nỏ ngon là răng hầy?""",Mà bạn làm sao mà không ngon nhỉ?,central
"tao ăn miết à, mạ tao nấu ngon bá cháy","tao ăn mãi thôi, mẹ tao nấu ngon tuyệt vời",southern
"Ngái quá, tau ở Nam Đàn cơ.","Xa quá, tao ở Nam Đàn cơ.",central
nghèo chớ! Về còn mươn xe cậu út chạy thấy hôn?,nghèo chứ! Về còn thuê xe cậu út chạy thấy không.,southern
"cười chơ sợ, về dưới nớ không được cười nữa.","Cười chớ sợ, về dưới đó không được cười nữa.",central
nãy mà đi Bình Dương là vậy nè em,nãy mà đi Bình Dương là vậy này em,southern
"""Tặng hòn đá nhít để nhít cho nhau, sướng lắm không ngứa nữa.""","Tặng hòn đá tắm để kỳ lưng cho nhau, sướng lắm mà không ngứa nữa.",central
